Tormex/Sirena/Nomirex bank ledgers | The Proxy Platform (2011) | report-01-laundromat-canon.md
Confidential/leaked deal files | Making a Killing: The €1.2 Billion Arms Pipeline to the Middle East (2016) | report-14-illicit-trade.md
Flight-event ledger | The Middle East Airlift (2016) | report-14-illicit-trade.md
Aviation/customs confirmations | The Middle East Airlift (2016) | report-14-illicit-trade.md
Contracts/end-user certificates | The Middle East Airlift (2016) | report-14-illicit-trade.md
Battlefield imagery | The Coyote's Trail: A Machine Gun's Path from Serbia to Syria (2017) | report-14-illicit-trade.md
Serial lookup | The Coyote's Trail: A Machine Gun's Path from Serbia to Syria (2017) | report-14-illicit-trade.md
Export/end-user records and company accounts | The Coyote's Trail: A Machine Gun's Path from Serbia to Syria (2017) | report-14-illicit-trade.md
Facebook | The Coyote's Trail: A Machine Gun's Path from Serbia to Syria (2017) | report-14-illicit-trade.md
Production/import/consumption/export series | Ukraine's “Lost” Cigarettes Flood Europe (2008) | report-14-illicit-trade.md
Customs seizures and criminal cases | Ukraine's “Lost” Cigarettes Flood Europe (2008) | report-14-illicit-trade.md
Excise stamps, prices, and corporate reports | Ukraine's “Lost” Cigarettes Flood Europe (2008) | report-14-illicit-trade.md
Online seller test | Ukraine's “Lost” Cigarettes Flood Europe (2008) | report-14-illicit-trade.md
Undercover audio/video | Going Undercover — Inside Baltic Tobacco's Smuggling Empire (2008) | report-14-illicit-trade.md
Wider project trade/customs data | Going Undercover — Inside Baltic Tobacco's Smuggling Empire (2008) | report-14-illicit-trade.md
Police/investigative files | Latin America's Lucrative People-Smuggling Networks (2020) | report-14-illicit-trade.md
Court and DOJ records | Latin America's Lucrative People-Smuggling Networks (2020) | report-14-illicit-trade.md
National encounter/immigration statistics | Latin America's Lucrative People-Smuggling Networks (2020) | report-14-illicit-trade.md
MEICO inventory and sales files | Made in China: How Czech Companies Bought Tens of Millions of Rounds of Old Ammunition (2018) | report-14-illicit-trade.md
Company emails | Made in China: How Czech Companies Bought Tens of Millions of Rounds of Old Ammunition (2018) | report-14-illicit-trade.md
Diplomatic cable | Made in China: How Czech Companies Bought Tens of Millions of Rounds of Old Ammunition (2018) | report-14-illicit-trade.md
Corporate/UN/public records | Made in China: How Czech Companies Bought Tens of Millions of Rounds of Old Ammunition (2018) | report-14-illicit-trade.md
Romanian company/tax records | Building a Highway to Crime From the Middle East Into Europe (2014) | report-14-illicit-trade.md
Court/prosecution files | Building a Highway to Crime From the Middle East Into Europe (2014) | report-14-illicit-trade.md
Passport cancellation and foreign correspondence | Building a Highway to Crime From the Middle East Into Europe (2014) | report-14-illicit-trade.md
national professional licensing registers | System Failure: How Banned Doctors Move Across Europe, Leaving Patients Vulnerable (2025) | report-16-public-services.md
professional discipline/revocation registers | System Failure: How Banned Doctors Move Across Europe, Leaving Patients Vulnerable (2025) | report-16-public-services.md
Tribunal decisions, judgments, and court records | System Failure: How Banned Doctors Move Across Europe, Leaving Patients Vulnerable (2025) | report-16-public-services.md
EU Internal Market Information system | System Failure: How Banned Doctors Move Across Europe, Leaving Patients Vulnerable (2025) | report-16-public-services.md
Active-practice checks | System Failure: How Banned Doctors Move Across Europe, Leaving Patients Vulnerable (2025) | report-16-public-services.md
Internal Steward archive | How Private Equity and an Ambitious Landlord Put Steward Health Care on Life Support (2024) | report-16-public-services.md
SEC EDGAR filings | How Private Equity and an Ambitious Landlord Put Steward Health Care on Life Support (2024) | report-16-public-services.md
Property transaction, lease, and valuation records | How Private Equity and an Ambitious Landlord Put Steward Health Care on Life Support (2024) | report-16-public-services.md
Massachusetts attorney-general review | How Private Equity and an Ambitious Landlord Put Steward Health Care on Life Support (2024) | report-16-public-services.md
U.S. bankruptcy court filings | How Private Equity and an Ambitious Landlord Put Steward Health Care on Life Support (2024) | report-16-public-services.md
U.S. congressional records | How Private Equity and an Ambitious Landlord Put Steward Health Care on Life Support (2024) | report-16-public-services.md
Vendor and executive emails | ‘Robbing Peter to Pay Paul’: Inside Steward’s Crumbling Massachusetts Hospitals (2024) | report-16-public-services.md
federal hospital-regulator findings | ‘Robbing Peter to Pay Paul’: Inside Steward’s Crumbling Massachusetts Hospitals (2024) | report-16-public-services.md
U.S. congressional records | ‘Robbing Peter to Pay Paul’: Inside Steward’s Crumbling Massachusetts Hospitals (2024) | report-16-public-services.md
Bankruptcy, closure, and sale records | ‘Robbing Peter to Pay Paul’: Inside Steward’s Crumbling Massachusetts Hospitals (2024) | report-16-public-services.md
ASTRA anti-trafficking report | The Worker (2020) | report-16-public-services.md
Bosnian criminal and civil-case documents | The Worker (2020) | report-16-public-services.md
ECtHR / HUDOC | The Worker (2020) | report-16-public-services.md
Wayback Machine | The Minister (2020) | report-16-public-services.md
Pre-closure Azerbaijani registry scrape | The Minister (2020) | report-16-public-services.md
Luxembourg and Azerbaijani corporate records | The Minister (2020) | report-16-public-services.md
Ministry report, letter to prosecutors, and meeting record | The Minister (2020) | report-16-public-services.md
Two maternity-hospital statistical series | Venezuelan Newborns Suffer as Mothers Struggle with Hunger (2018) | report-16-public-services.md
Death certificate and clinical history | Venezuelan Newborns Suffer as Mothers Struggle with Hunger (2018) | report-16-public-services.md
WHO health thresholds | Venezuelan Newborns Suffer as Mothers Struggle with Hunger (2018) | report-16-public-services.md
DIICOT annual reports/case records | Romania: Prosecutors Overwhelmed (2009) | report-16-public-services.md
Seizure, arrest, bail, and trial records | Romania: Prosecutors Overwhelmed (2009) | report-16-public-services.md
Statutory rules and ethics code | Romania: Prosecutors Overwhelmed (2009) | report-16-public-services.md
EU Tenders Electronic Daily | Europe's COVID-19 Spending Spree Unmasked (2020) | report-16-public-services.md
National and regional contract portals | Europe's COVID-19 Spending Spree Unmasked (2020) | report-16-public-services.md
Public-record requests | Europe's COVID-19 Spending Spree Unmasked (2020) | report-16-public-services.md
Published normalized tables | Europe's COVID-19 Spending Spree Unmasked (2020) | report-16-public-services.md
Supplier identifiers and contract descriptions | Europe's COVID-19 Spending Spree Unmasked (2020) | report-16-public-services.md
Chinese local-government reports, news, and videos | China’s Oppressed Uighurs Made COVID-19 Protection Sold Throughout Europe (2020) | report-16-public-services.md
ASPI and prior *New York Times* factory identification | China’s Oppressed Uighurs Made COVID-19 Protection Sold Throughout Europe (2020) | report-16-public-services.md
Company filings, websites, sourcing policies, and product catalogs | China’s Oppressed Uighurs Made COVID-19 Protection Sold Throughout Europe (2020) | report-16-public-services.md
Confidential proposals, emails, purchase confirmations, and invoices | Mr. HispanoPreneur™: The Man Behind Honduras’ $47-Million Coronavirus Disaster (2020) | report-16-public-services.md
INVEST-H purchase records | Mr. HispanoPreneur™: The Man Behind Honduras’ $47-Million Coronavirus Disaster (2020) | report-16-public-services.md
Honduras National Anti-Corruption Council reports | Mr. HispanoPreneur™: The Man Behind Honduras’ $47-Million Coronavirus Disaster (2020) | report-16-public-services.md
Public Ministry and official inspection/audit records | Mr. HispanoPreneur™: The Man Behind Honduras’ $47-Million Coronavirus Disaster (2020) | report-16-public-services.md
Florida corporate, address, website, social-media, and trade records | Mr. HispanoPreneur™: The Man Behind Honduras’ $47-Million Coronavirus Disaster (2020) | report-16-public-services.md
ASJ audit reports | Mr. HispanoPreneur™: The Man Behind Honduras’ $47-Million Coronavirus Disaster (2020) | report-16-public-services.md
