entity_name,event_date,record_type,record_id,source,role_or_transaction,people,address_or_parcel,verification_level,key_fact,caution
"Ivy Hearth Properties, Inc.",1987-12-14,domestic articles,G290_1436,Ohio Secretary of State,Formation and original statutory-agent appointment,Dorothy Snow,"41 South High St., Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow was incorporator and original statutory agent,"The articles identify no officer, director, shareholder, parcel, Epstein, or Wexner."
"Ivy Hearth Properties, Inc.",1988-12-28,domestic dissolution,G532_1108;OH-SOS:728764:G532_0974,Ohio Secretary of State,Dissolution certificate and affidavits,Stanley Schwartz Jr.; Kenneth S. Warren; Richard W. Rubenstein; Dorothy Snow,"41 South High St., 23rd Floor, Columbus, OH 43215",primary_image_confirmed,Schwartz was chairman/president; Rubenstein vice president/treasurer; Snow secretary; Warren a director,"The sole shareholder is unnamed; no-personal-property language does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Rockyriver Properties, Inc.",1987-12-14,domestic articles,G290_1454,Ohio Secretary of State,Formation and original statutory-agent appointment,Dorothy Snow,"41 South High St., Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow was incorporator and original statutory agent,"The articles identify no officer, director, shareholder, parcel, Epstein, or Wexner."
"Rockyriver Properties, Inc.",1988-12-28,domestic dissolution,G532_1210;OH-SOS:728764:G532_0974,Ohio Secretary of State,Dissolution certificate and affidavits,Stanley Schwartz Jr.; Kenneth S. Warren; Richard W. Rubenstein; Dorothy Snow,"41 South High St., 23rd Floor, Columbus, OH 43215",primary_image_confirmed,Schwartz was chairman/president; Rubenstein vice president/treasurer; Snow secretary; Warren a director,"The scan is out of page order but complete; the sole shareholder is unnamed and no-personal-property language does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Deerfield Meadows, Inc.",1987-12-22,domestic articles,G294_1118,Ohio Secretary of State,Formation and original statutory-agent appointment,Dorothy Snow,"41 South High St., Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow was incorporator and original statutory agent,"The articles identify no officer, director, shareholder, parcel, Epstein, or Wexner."
"Deerfield Meadows, Inc.",1990-12-28,merged-out status and reciprocal agreement,H052_1489;H052_1482,Ohio Secretary of State,"Merged into Autumn Acres, Inc.",Richard W. Rubenstein; Dorothy Snow,"41 South High St., Columbus, OH 43215",primary_image_confirmed,The substantive agreement names Autumn as survivor; the exact-charter MEX packet alone does not,The sole shareholder is unnamed and no specific parcel is identified.
Landes Management Corporation,1988-05-13,domestic articles,G379_0229,Ohio Secretary of State,Formation and original statutory-agent appointment,Dorothy Snow,"41 South High St., Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow was incorporator and original statutory agent,"The articles identify no officer, director, shareholder, parcel, Epstein, or Wexner."
Landes Management Corporation,1990-12-28,merged-out status and reciprocal agreement,H052_1492;H052_1482,Ohio Secretary of State,"Merged into Autumn Acres, Inc.",Richard W. Rubenstein; Dorothy Snow,"41 South High St., Columbus, OH 43215",primary_image_confirmed,The substantive agreement names Autumn as survivor; the exact-charter MEX packet alone does not,The sole shareholder is unnamed and no specific parcel is identified.
Maycor Incorporated,1988-05-13,domestic articles,G379_0235,Ohio Secretary of State,Formation and original statutory-agent appointment,Dorothy Snow,"41 South High St., Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow was incorporator and original statutory agent,"The articles identify no officer, director, shareholder, parcel, Epstein, or Wexner."
Maycor Incorporated,1990-12-28,merged-out status and reciprocal agreement,H052_1495;H052_1482,Ohio Secretary of State,"Merged into Autumn Acres, Inc.",Richard W. Rubenstein; Dorothy Snow,"41 South High St., Columbus, OH 43215",primary_image_confirmed,The substantive agreement names Autumn as survivor; the exact-charter MEX packet alone does not,The sole shareholder is unnamed and no specific parcel is identified.
"New Albany 84, Inc. / New Albany 74, Inc.",1987-04-02,domestic articles,G131_1185,Ohio Secretary of State,Formation under former name and original statutory-agent appointment,Robert N. Wistner,"475 Metro Place North, Suite 200, Dublin, OH 43017-1374",primary_image_confirmed,Ohio charter 698295 was formed as New Albany 84; Wistner was incorporator and agent,"The articles identify no initial officer, director, shareholder, parcel, Epstein, or Wexner."
"New Albany 74, Inc.",1987-04-16,amendment to articles,G148_0780,Ohio Secretary of State,Name change from New Albany 84 under the same charter,Paul S. Coppel; Dorothy Snow,"SKWR return route, 41 South High St., Columbus, OH 43215",primary_image_confirmed,Coppel signed as vice president and Snow as secretary; the unnamed holder of all voting common shares approved the rename,"One charter, not two entities; the filing does not identify the shareholder as Epstein or Wexner."
"New Albany 74, Inc.",1990-12-28,merged-out status and reciprocal agreement,H052_1498;H052_1482,Ohio Secretary of State,"Merged into Autumn Acres, Inc.",Richard W. Rubenstein; Dorothy Snow,"41 South High St., Columbus, OH 43215",primary_image_confirmed,The substantive agreement names Autumn as survivor; the exact-charter MEX packet alone does not,The sole shareholder is unnamed and no specific parcel is identified.
"129 Associates, Inc.",1987-04-02,domestic articles,G131_1191,Ohio Secretary of State,Formation and original statutory-agent appointment,Robert N. Wistner,"475 Metro Place North, Suite 200, Dublin, OH 43017-1374",primary_image_confirmed,Wistner was incorporator and original statutory agent,"Sequential charter with 698295 supports a formation batch, not common ownership; no Epstein or Wexner appears."
"129 Associates, Inc.",1990-12-28,merged-out status and reciprocal agreement,H052_1501;H052_1482,Ohio Secretary of State,"Merged into Autumn Acres, Inc.",Richard W. Rubenstein; Dorothy Snow,"41 South High St., Columbus, OH 43215",primary_image_confirmed,The substantive agreement names Autumn as survivor; the exact-charter MEX packet alone does not,The sole shareholder is unnamed and no specific parcel is identified.
Rockyridge Development Corp.,1987-12-22,domestic articles,G294_1075,Ohio Secretary of State,Formation and original statutory-agent appointment,Dorothy Snow; Len Loraditch,"41 South High St., Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow was incorporator and original statutory agent; Loraditch appears only as filing return contact,"The articles identify no officer, director, shareholder, parcel, Epstein, or Wexner."
Rockyridge Development Corp.,1990-12-28,merged-out status and reciprocal agreement,H052_1504;H052_1482,Ohio Secretary of State,"Merged into Autumn Acres, Inc.",Richard W. Rubenstein; Dorothy Snow,"41 South High St., Columbus, OH 43215",primary_image_confirmed,The substantive agreement names Autumn as survivor; the exact-charter MEX packet alone does not,The sole shareholder is unnamed and no specific parcel is identified.
"Tumbleweed Estates, Inc.",1987-12-22,domestic articles,G294_1088,Ohio Secretary of State,Formation and original statutory-agent appointment,Dorothy Snow,"41 South High St., Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow was incorporator and original statutory agent,"The articles identify no officer, director, shareholder, parcel, Epstein, or Wexner."
"Tumbleweed Estates, Inc.",1990-12-28,merged-out status and reciprocal agreement,H052_1507;H052_1482,Ohio Secretary of State,"Merged into Autumn Acres, Inc.",Richard W. Rubenstein; Dorothy Snow,"41 South High St., Columbus, OH 43215",primary_image_confirmed,The substantive agreement names Autumn as survivor; the exact-charter MEX packet alone does not,The sole shareholder is unnamed and no specific parcel is identified.
"Bearce Hollow, Inc.",1987-12-31,domestic merger,G313_0688,Ohio Secretary of State,Merged into Rocky Fork Development Corporation,Harold L. Levin; Paul S. Coppel; Richard W. Rubenstein,"41 South High St., Columbus, OH 43215",primary_image_confirmed,Agreement expressly names Bearce as merging corporation and Rocky Fork as survivor,"The mutual/sole shareholder is unnamed. Any Bearce property passed to Rocky Fork, but no parcel is identified; Epstein, Wexner, and Snow are absent."
Rocky Fork Development Corporation,1987-12-31,domestic merger,G313_0688,Ohio Secretary of State,Survivor of Bearce Hollow merger,Harold L. Levin; Richard W. Rubenstein,"41 South High St., Columbus, OH 43215",primary_image_confirmed,"Rocky Fork continued and succeeded to all Bearce assets, property, real-estate interests, and liabilities",No actual property holding is identified. This packet predates and does not name Epstein or Wexner.
"Eastside Industrial, Inc.",1986-12-05,domestic articles,G046_1780,Ohio Secretary of State,Formation and original statutory-agent appointment,G. L. Hatfield; C T Corporation System,"Columbus, Franklin County; Carew Tower, Cincinnati, OH 45202",primary_image_confirmed,Formed with 750 no-par common shares and generic lawful-purpose language,"The packet names no officer, director, shareholder, parcel, Epstein, or Wexner; its cover letter batches Gahanna Trucking and Great Eastern Fastening."
Great Eastern Fastening Corp.,1986-12-05,domestic articles,G046_1772,Ohio Secretary of State,Formation and original statutory-agent appointment,G. L. Hatfield; C T Corporation System,"Columbus, Franklin County; Carew Tower, Cincinnati, OH 45202",primary_image_confirmed,Formed with 750 no-par common shares and generic lawful-purpose language,"The packet names no officer, director, shareholder, parcel, Epstein, or Wexner; its cover letter batches Gahanna Trucking and Eastside Industrial."
"Eastside Industrial, Inc.",1987-12-17,subsequent agent appointment,G296_1217,Ohio Secretary of State,Dorothy Snow succeeded C T Corporation System as statutory agent,Paul S. Coppel; Dorothy Snow,"41 S. High Street, Suite 2300, Columbus, OH 43215",primary_image_confirmed,Coppel signed as secretary; the form was executed 1987-12-11 and recorded 1987-12-17,"Agent status does not establish ownership, an officer role, or a property interest."
Great Eastern Fastening Corp.,1987-12-17,subsequent agent appointment,G296_1223,Ohio Secretary of State,Dorothy Snow succeeded C T Corporation System as statutory agent,Paul S. Coppel; Dorothy Snow,"41 S. High Street, Suite 2300, Columbus, OH 43215",primary_image_confirmed,Coppel signed as secretary; the form was executed 1987-12-11 and recorded 1987-12-17,"Agent status does not establish ownership, an officer role, or a property interest."
Great Eastern Fastening Corp.,1989-12-22,merged-out status and reciprocal agreement,G769_0695;G769_0688,Ohio Secretary of State,"Merged into Eastside Industrial, Inc.","Harold L. Levin; Stanley Schwartz, Jr.","41 S. High Street, Columbus, OH 43215",primary_image_confirmed,The substantive agreement names Great Eastern as merged corporation and Eastside as survivor,The exact-charter MEX packet alone omits the survivor. The sole shareholder is unnamed and no specific parcel is identified.
"Eastside Industrial, Inc.",1989-12-22,domestic merger,G769_0688,Ohio Secretary of State,Survivor of Great Eastern Fastening merger,"Harold L. Levin; Stanley Schwartz, Jr.","41 S. High Street, Columbus, OH 43215",primary_image_confirmed,"Eastside continued and succeeded to all Great Eastern assets, property, real-estate interests, and liabilities","No actual property holding is identified; Epstein, Wexner, and Snow are absent from the merger packet."
"Eastside Industrial, Inc.",1989-12-29,domestic dissolution,G805_0338,Ohio Secretary of State,Dissolved one week after surviving the Great Eastern merger,"Harold L. Levin; Stanley Schwartz, Jr.; Dorothy Snow","41 S. High Street, Suites 3710 and 2300, Columbus, OH 43215",primary_image_confirmed,Levin was president and sole director; Schwartz secretary; Snow statutory agent; sole shareholder unnamed,The no-personal-property affidavit does not rule out real estate and the packet names no asset recipient.
"Carlisle Meadows, Inc.",1986-12-02,domestic articles,G043_1702,Ohio Secretary of State,Formation and original statutory-agent appointment,G. L. Hatfield; CT Corporation System,"Columbus, Franklin County; CT Corporation System, Carew Tower, Cincinnati, OH 45202",primary_image_confirmed,Hatfield was incorporator; CT Corporation System was original statutory agent; articles authorized 750 no-par common shares,"The generic articles identify no officer, director, shareholder, parcel, Epstein, or Wexner."
"Carlisle Meadows, Inc.",1987-12-17,domestic agent subsequent appointment,G296_1208,Ohio Secretary of State,Subsequent statutory-agent appointment,Dorothy Snow; Paul S. Coppel,"c/o Schwartz, Kelm, Warren & Rubenstein, 41 S. High Street, Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow succeeded CT Corporation System; Coppel signed as Secretary on 1987-12-11,An agent appointment and secretary signature are administrative roles and do not establish ownership.
"Carlisle Meadows, Inc.",1988-12-28,domestic dissolution,G532_0994;OH-SOS:728764:G532_0974,Ohio Secretary of State,Voluntary dissolution certificate and affidavits,"Harold L. Levin; Stanley Schwartz, Jr.; Dorothy Snow","41 S. High St., Suite 3710 and 23rd Floor, Columbus, OH 43215",primary_image_confirmed,"Levin was president, treasurer, and sole director; Schwartz secretary; Snow statutory agent; sole shareholder unnamed","Papers were executed 1988-12-22 and certified 1988-12-29. No-personal-property language does not address real estate; no merger or asset recipient is named. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Daiseyland Farms, Inc.",1986-12-01,domestic articles,G041_1751,Ohio Secretary of State,Formation and original statutory-agent appointment,C. A. Record; CT Corporation System,"Columbus, Franklin County; CT Corporation System, Carew Tower, Cincinnati, OH 45202; return routed to Schwartz & Kelm, 41 S. High St.",primary_image_confirmed,Record was incorporator; CT Corporation System was original statutory agent; articles authorized 750 no-par common shares,"The Schwartz & Kelm return route is an administrative link, not ownership evidence; the articles name no officer, director, shareholder, parcel, Epstein, or Wexner."
"Daiseyland Farms, Inc.",1987-12-17,domestic agent subsequent appointment,G296_1214,Ohio Secretary of State,Subsequent statutory-agent appointment,Dorothy Snow; Paul S. Coppel,"c/o Schwartz, Kelm, Warren & Rubenstein, 41 S. High Street, Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow succeeded CT Corporation System; Coppel signed as Secretary on 1987-12-11,An agent appointment and secretary signature are administrative roles and do not establish ownership.
"Daiseyland Farms, Inc.",1990-12-28,domestic dissolution,H052_1510,Ohio Secretary of State,Voluntary dissolution certificate and affidavits,Harold L. Levin; Dorothy Snow; Paul S. Coppel,"41 S. High St., Suites 1750 and 2300, Columbus, OH 43215",primary_image_confirmed,"The filing spells the name Daisyland; Levin was president, treasurer, and sole director; Snow vice president and agent; Coppel secretary; sole shareholder unnamed","Daisyland is a document spelling variant, not a proven name change. No-personal-property language does not address real estate; no merger or asset recipient is named."
"Frontier Hills, Inc.",1986-12-02,domestic articles,G043_1694,Ohio Secretary of State,Formation and original statutory-agent appointment,G. L. Hatfield; CT Corporation System,"Columbus, Franklin County; CT Corporation System, Carew Tower, Cincinnati, OH 45202",primary_image_confirmed,Hatfield was incorporator; CT Corporation System was original statutory agent; articles authorized 750 no-par common shares,"The generic articles identify no officer, director, shareholder, parcel, Epstein, or Wexner."
"Frontier Hills, Inc.",1987-12-17,domestic agent subsequent appointment,G296_1195,Ohio Secretary of State,Subsequent statutory-agent appointment,Dorothy Snow; Paul S. Coppel,"c/o Schwartz, Kelm, Warren & Rubenstein, 41 S. High Street, Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow succeeded CT Corporation System; Coppel signed as Secretary on 1987-12-11,An agent appointment and secretary signature are administrative roles and do not establish ownership.
"Frontier Hills, Inc.",1988-12-28,domestic dissolution,G532_1066;OH-SOS:728764:G532_0974,Ohio Secretary of State,Voluntary dissolution certificate and affidavits,"Harold L. Levin; Stanley Schwartz, Jr.; Dorothy Snow","41 S. High St., Suite 3710 and 23rd Floor, Columbus, OH 43215",primary_image_confirmed,"Levin was president, treasurer, and sole director; Schwartz secretary; Snow statutory agent; sole shareholder unnamed","Papers were executed 1988-12-22 and certified 1988-12-29. No-personal-property language does not address real estate; no merger or asset recipient is named. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Gahanna Trucking, Inc.",1986-12-05,domestic articles,G046_1764,Ohio Secretary of State,Formation and original statutory-agent appointment,G. L. Hatfield; CT Corporation System,"Columbus, Franklin County; CT Corporation System, Carew Tower, Cincinnati, OH 45202",primary_image_confirmed,Hatfield was incorporator and CT original agent; the cover letter grouped Gahanna with Great Eastern Fastening and Eastside Industrial,"The cover letter proves a filing batch, not common ownership; the articles identify no officer, director, shareholder, parcel, Epstein, or Wexner."
"Gahanna Trucking, Inc.",1987-12-17,domestic agent subsequent appointment,G296_1220,Ohio Secretary of State,Subsequent statutory-agent appointment,Dorothy Snow; Paul S. Coppel,"c/o Schwartz, Kelm, Warren & Rubenstein, 41 S. High Street, Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow succeeded CT Corporation System; Coppel signed as Secretary on 1987-12-11,An agent appointment and secretary signature are administrative roles and do not establish ownership.
"Gahanna Trucking, Inc.",1988-12-28,domestic dissolution,G532_1072;OH-SOS:728764:G532_0974,Ohio Secretary of State,Voluntary dissolution certificate and affidavits,"Harold L. Levin; Stanley Schwartz, Jr.; Dorothy Snow","41 S. High St., Suite 3710 and 23rd Floor, Columbus, OH 43215",primary_image_confirmed,"Levin was president, treasurer, and sole director; Schwartz secretary; Snow statutory agent; sole shareholder unnamed","Papers were executed 1988-12-22 and certified 1988-12-29. No-personal-property language does not address real estate; no merger or asset recipient is named. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Greystone Acres, Inc.",1986-11-28,domestic articles,G041_1688,Ohio Secretary of State,Formation and original statutory-agent appointment,G. L. Hatfield; CT Corporation System,"Columbus, Franklin County; CT Corporation System, Carew Tower, Cincinnati, OH 45202",primary_image_confirmed,Hatfield was incorporator; CT Corporation System was original statutory agent; articles authorized 750 no-par common shares,"The generic articles identify no officer, director, shareholder, parcel, Epstein, or Wexner."
"Greystone Acres, Inc.",1987-12-17,domestic agent subsequent appointment,G296_1199,Ohio Secretary of State,Subsequent statutory-agent appointment,Dorothy Snow; Paul S. Coppel,"c/o Schwartz, Kelm, Warren & Rubenstein, 41 S. High Street, Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow succeeded CT Corporation System; Coppel signed as Secretary on 1987-12-11,An agent appointment and secretary signature are administrative roles and do not establish ownership.
"Greystone Acres, Inc.",1988-12-28,domestic dissolution,G532_1084;OH-SOS:728764:G532_0974,Ohio Secretary of State,Voluntary dissolution certificate and affidavits,"Harold L. Levin; Stanley Schwartz, Jr.; Dorothy Snow","41 S. High St., Suite 3710 and 23rd Floor, Columbus, OH 43215",primary_image_confirmed,"Levin was president, treasurer, and sole director; Schwartz secretary; Snow statutory agent; sole shareholder unnamed","Papers were executed 1988-12-22 and certified 1988-12-29. No-personal-property language does not address real estate; no merger or asset recipient is named. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Brewer Farms, Inc.",1986-12-02,domestic articles,G043_1710,Ohio Secretary of State,Formation and original statutory-agent appointment,G. L. Hatfield; CT Corporation System,"Columbus, Franklin County; CT Corporation System, Carew Tower, Cincinnati, Hamilton County, OH 45202",primary_image_confirmed,Hatfield was incorporator; CT Corporation System was original statutory agent; articles authorized 750 no-par common shares,"The generic articles identify no officer, director, shareholder, parcel, Epstein, or Wexner."
"Brewer Farms, Inc.",1987-12-17,domestic agent subsequent appointment,G296_1205,Ohio Secretary of State,Subsequent statutory-agent appointment,Dorothy Snow; Paul S. Coppel,"c/o Schwartz, Kelm, Warren & Rubenstein, 41 S. High Street, Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow succeeded CT Corporation System; Coppel signed the appointment on 1987-12-11,Coppel's exact corporate capacity is illegible. An agent appointment and signature are administrative facts and do not establish ownership.
"Brewer Farms, Inc.",1987-12-31,merged-out status packet,G313_0675,Ohio Secretary of State,MEX certificate and administrative routing,J. McCoy,"Schwartz, Kelm, Warren & Rubenstein, 41 S. High St., Columbus, OH 43215",primary_image_confirmed,Certificate records Brewer Farms as MEX on roll G313 at frame 0677,"The three-page packet names no survivor, other constituent, officer, shareholder, parcel, Epstein, or Wexner; shared routing does not prove a merger party."
"Central Falls, Inc.",1986-12-02,domestic articles,G043_1726,Ohio Secretary of State,Formation and original statutory-agent appointment,G. L. Hatfield; CT Corporation System,"Columbus, Franklin County; CT Corporation System, Carew Tower, Cincinnati, Hamilton County, OH 45202",primary_image_confirmed,Hatfield was incorporator; CT Corporation System was original statutory agent; articles authorized 750 no-par common shares,"The generic articles identify no officer, director, shareholder, parcel, Epstein, or Wexner."
"Central Falls, Inc.",1987-12-17,domestic agent subsequent appointment,G296_1211,Ohio Secretary of State,Subsequent statutory-agent appointment,Dorothy Snow; Paul S. Coppel,"c/o Schwartz, Kelm, Warren & Rubenstein, 41 S. High Street, Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow succeeded CT Corporation System; Coppel signed the appointment on 1987-12-11,Coppel's exact corporate capacity is illegible. An agent appointment and signature are administrative facts and do not establish ownership.
"Central Falls, Inc.",1987-12-31,merged-out status packet,G313_0685,Ohio Secretary of State,MEX certificate and administrative routing,J. McCoy,"Schwartz, Kelm, Warren & Rubenstein, 41 S. High St., Columbus, OH 43215",primary_image_confirmed,Certificate records Central Falls as MEX on roll G313 at frame 0687,"The three-page packet names no survivor, other constituent, officer, shareholder, parcel, Epstein, or Wexner; shared routing does not prove a merger party."
The Wexner Foundation,1973-03-05,official registry metadata,OH-REGISTRY:436405,Ohio Secretary of State registry cache,Exact Ohio nonprofit charter and current registry status,The Wexner Foundation,,official_registry_metadata_confirmed,Ohio charter 436405; nonprofit; active registry record,Metadata establishes the exact charter but does not substitute for the historical filing images or identify trustees.
The Wexner Foundation,1994-03-11,SEC ownership filing,SEC:901359:000095010994000416,U.S. Securities and Exchange Commission,Historical trustee and address identification,Jeffrey E. Epstein; The Wexner Foundation,"41 South High Street, Suite 3710, Columbus, OH 43215",primary_sec_filing_confirmed,The filing identifies Epstein in the Wexner Foundation trustee context and supplies the Columbus address crosswalk,"This is primary SEC evidence, not an Ohio corporate filing. The Ohio trustee, merger, and removal actions still require exact-charter image review."
The Leslie H. Wexner Foundation,1985-07-16,official registry metadata,OH-REGISTRY:658659,Ohio Secretary of State registry cache,Exact Ohio foundation charter and inactive registry status,The Leslie H. Wexner Foundation,,official_registry_metadata_confirmed,Ohio charter 658659; nonprofit/foundation; inactive registry record,Metadata establishes the exact charter only. The reported 1993 merger and every signing capacity remain pending reciprocal Ohio packet review.
"Blueberry Ridge Properties, Inc.",1987-12-22,domestic articles,G294_1082,Ohio Secretary of State,Formation and original statutory-agent appointment,Dorothy Snow,"41 S High St., Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow signed as incorporator and accepted appointment as original statutory agent,"The articles identify no officer, director, shareholder, parcel, Epstein, or Wexner."
"Blueberry Ridge Properties, Inc.",1995-12-29,merged-out status packet,5422_1209,Ohio Secretary of State,MEX certificate and later processing statement,New Albany Company; W. W. Vaughn III,"5906 E Dublin-Granville Rd., New Albany, OH 43054",primary_image_confirmed,Packet confirms merged-out status and routes the status document to New Albany Company,The packet names no survivor or other constituent; a return recipient is not ownership or merger-party proof.
"Cedar Canyon Properties, Inc.",1987-12-22,domestic articles,G294_1100,Ohio Secretary of State,Formation and original statutory-agent appointment,Dorothy Snow,"41 S High St., Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow signed as incorporator and accepted appointment as original statutory agent,"The articles identify no officer, director, shareholder, parcel, Epstein, or Wexner."
"Cedar Canyon Properties, Inc.",1995-12-29,merged-out status packet,5422_1215,Ohio Secretary of State,MEX certificate and later processing statement,New Albany Company; W. W. Vaughn III,"5906 E Dublin-Granville Rd., New Albany, OH 43054",primary_image_confirmed,Packet confirms merged-out status and routes the status document to New Albany Company,The packet names no survivor or other constituent; a return recipient is not ownership or merger-party proof.
Chestnut Heights Corporation,1987-12-22,domestic articles,G294_1106,Ohio Secretary of State,Formation and original statutory-agent appointment,Dorothy Snow,"41 S High St., Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow signed as incorporator and accepted appointment as original statutory agent,"The articles identify no officer, director, shareholder, parcel, Epstein, or Wexner."
Chestnut Heights Corporation,1988-12-28,domestic dissolution,G532_1012;OH-SOS:728764:G532_0974,Ohio Secretary of State,Dissolution certificate and affidavits,"Stanley Schwartz, Jr.; Richard W. Rubenstein; Dorothy Snow","41 S High St., 23rd Floor, Columbus, OH 43215",primary_image_confirmed,Schwartz was chairman/president; Rubenstein vice president/treasurer; Snow secretary; sole shareholder unnamed,"No Epstein or Wexner appears; no-personal-property language does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
Plateau Acres Incorporated,1987-12-22,domestic articles,G294_1094,Ohio Secretary of State,Formation and original statutory-agent appointment,Dorothy Snow,"41 S High St., Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow signed as incorporator and accepted appointment as original statutory agent,"The articles identify no officer, director, shareholder, parcel, Epstein, or Wexner."
Plateau Acres Incorporated,1988-12-28,domestic dissolution,G532_1186;OH-SOS:728764:G532_0974,Ohio Secretary of State,Dissolution certificate and affidavits,"Stanley Schwartz, Jr.; Richard W. Rubenstein; Dorothy Snow","41 S High St., 23rd Floor, Columbus, OH 43215",primary_image_confirmed,Schwartz was chairman/president; Rubenstein vice president/treasurer; Snow secretary; sole shareholder unnamed,"No Epstein or Wexner appears; no-personal-property language does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Fordham Investment, Inc.",1988-03-04,domestic articles,G339_1075,Ohio Secretary of State,Formation and original statutory-agent appointment,Dorothy Snow; L. Loraditch,"Columbus, Franklin County; c/o SKWR, 41 S. High St., Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow signed as sole incorporator and original statutory agent; filing return routed to SKWR attention L. Loraditch,"The general lawful-purpose clause identifies no officer, shareholder, parcel, Epstein, or Wexner."
"Fordham Investment, Inc.",1988-12-28,domestic dissolution,G532_1048;OH-SOS:728764:G532_0974,Ohio Secretary of State,Dissolution executed 1988-12-22 and filed 1988-12-28,"Stanley Schwartz, Jr.; Richard W. Rubenstein; Dorothy Snow; Kenneth S. Warren; unnamed sole shareholder","SKWR, 41 S. High St., 23rd Floor, Columbus, OH 43215",primary_image_confirmed,"Schwartz was chairman/president, Rubenstein vice president/treasurer, Snow secretary, and Warren a director; the sole shareholder was unnamed","The affidavit says no personal property in Ohio; it does not address real estate or identify any parcel or asset recipient. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Linden Acres, Inc.",1988-03-04,domestic articles,G339_1082,Ohio Secretary of State,Formation and original statutory-agent appointment,Dorothy Snow; L. Loraditch,"Columbus, Franklin County; c/o SKWR, 41 S. High St., Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow signed as sole incorporator and original statutory agent; filing return routed to SKWR attention L. Loraditch,"The general lawful-purpose clause identifies no officer, shareholder, parcel, Epstein, or Wexner."
"Linden Acres, Inc.",1988-12-28,domestic dissolution,G532_1120;OH-SOS:728764:G532_0974,Ohio Secretary of State,Dissolution executed 1988-12-22 and filed 1988-12-28,"Stanley Schwartz, Jr.; Richard W. Rubenstein; Dorothy Snow; Kenneth S. Warren; unnamed sole shareholder","SKWR, 41 S. High St., 23rd Floor, Columbus, OH 43215",primary_image_confirmed,"Schwartz was chairman/president, Rubenstein vice president/treasurer, Snow secretary, and Warren a director; the sole shareholder was unnamed","The affidavit says no personal property in Ohio; it does not address real estate or identify any parcel or asset recipient. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Rockford Development, Inc.",1988-03-04,domestic articles,G339_1096,Ohio Secretary of State,Formation and original statutory-agent appointment,Dorothy Snow; L. Loraditch,"Columbus, Franklin County; c/o SKWR, 41 S. High St., Suite 2300, Columbus, OH 43215",primary_image_confirmed,Snow signed as sole incorporator and original statutory agent; filing return routed to SKWR attention L. Loraditch,"The general lawful-purpose clause identifies no officer, shareholder, parcel, Epstein, or Wexner."
