entity_name,aliases,entity_class,formation_jurisdiction,ohio_entity_number,status,ohio_or_property_address,parcel_or_property,epstein_role_or_nexus,wexner_role_or_nexus,date_range,verification_status,removal_or_exit_status,priority,key_evidence_refs,notes
Harlem Investment Corporation,Harlem Investment Corp.; Ohio 712106,Ohio corporation / investment-name property candidate,Ohio,712106,dead / dissolved,"41 S High St., Suite 2300 and later 23rd Floor, Columbus, OH 43215",No parcel or deed verified,No Epstein role appears in the complete articles and dissolution packets,No Wexner role appears in the complete articles and dissolution packets,1987-1988,primary Ohio images confirmed,Dissolved 1988-12-28; sole shareholder unnamed,bounded filing negative / property follow-up,G290_1430;G532_1096;FINDING:14576;OH-SOS:728764:G532_0974,"Law-firm officers and directors do not establish beneficial ownership. The no-personal-property affidavit does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Ivy Hearth Properties, Inc.",Ivy Hearth Properties Inc.; Ohio 712170,Ohio corporation / property-name candidate,Ohio,712170,dead / dissolved,"41 S High St., Suite 2300 and later 23rd Floor, Columbus, OH 43215",No parcel or deed verified,No Epstein role appears in the complete articles and dissolution packets,No Wexner role appears in the complete articles and dissolution packets,1987-1988,primary Ohio images confirmed,Dissolved 1988-12-28; sole shareholder unnamed,bounded filing negative / property follow-up,G290_1436;G532_1108;FINDING:14576;OH-SOS:728764:G532_0974,"Law-firm officers and directors do not establish beneficial ownership. The no-personal-property affidavit does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Rockyriver Properties, Inc.",Rockyriver Properties Inc.; Ohio 712441,Ohio corporation / property-name candidate,Ohio,712441,dead / dissolved,"41 S High St., Suite 2300 and later 23rd Floor, Columbus, OH 43215",No parcel or deed verified,No Epstein role appears in the complete articles and dissolution packets,No Wexner role appears in the complete articles and dissolution packets,1987-1988,primary Ohio images confirmed,Dissolved 1988-12-28; sole shareholder unnamed,bounded filing negative / property follow-up,G290_1454;G532_1210;FINDING:14576;OH-SOS:728764:G532_0974,"The dissolution scan is out of page order but complete. The no-personal-property affidavit does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Deerfield Meadows, Inc.",Deerfield Meadows Inc.; Ohio 714676,Ohio corporation / merged land-name candidate,Ohio,714676,dead / merged out,"41 S High St., Suite 2300, Columbus, OH 43215",No parcel or deed verified; generic merger succession only,"No Epstein role appears in the reviewed articles, merger, or MEX packets","No Wexner role appears in the reviewed articles, merger, or MEX packets",1987-1990,primary Ohio images confirmed,Merged into Autumn Acres 1990-12-28; sole shareholder unnamed,successor-chain property pivot,G294_1118; H052_1482; H052_1489; FINDING:14575,Search the predecessor through the merger date and Autumn Acres afterward; the filings identify no actual parcel.
Landes Management Corporation,Landes Management Corp.; Ohio 724617,Ohio corporation / merged management and property-successor candidate,Ohio,724617,dead / merged out,"41 S High St., Suite 2300, Columbus, OH 43215",No parcel or deed verified; generic merger succession only,"No Epstein role appears in the reviewed articles, merger, or MEX packets","No Wexner role appears in the reviewed articles, merger, or MEX packets",1988-1990,primary Ohio images confirmed,Merged into Autumn Acres 1990-12-28; sole shareholder unnamed,successor-chain property pivot,G379_0229; H052_1482; H052_1492; FINDING:14575,Search the predecessor through the merger date and Autumn Acres afterward; the filings identify no actual parcel.
Maycor Incorporated,Maycor Inc.; Ohio 724618,Ohio corporation / merged administrative candidate,Ohio,724618,dead / merged out,"41 S High St., Suite 2300, Columbus, OH 43215",No parcel or deed verified; generic merger succession only,"No Epstein role appears in the reviewed articles, merger, or MEX packets","No Wexner role appears in the reviewed articles, merger, or MEX packets",1988-1990,primary Ohio images confirmed,Merged into Autumn Acres 1990-12-28; sole shareholder unnamed,successor-chain property pivot,G379_0235; H052_1482; H052_1495; FINDING:14575,Search the predecessor through the merger date and Autumn Acres afterward; the filings identify no actual parcel.
"New Albany 74, Inc.","New Albany 84, Inc.; New Albany 74 Inc.; Ohio 698295",Ohio corporation / renamed New Albany land-assembly candidate,Ohio,698295,dead / merged out,"475 Metro Place North, Suite 200, Dublin, OH 43017-1374; SKWR filing route",No parcel or deed verified; generic merger succession only,"No Epstein role appears in the reviewed formation, amendment, merger, or MEX packets","No Wexner role appears in the reviewed formation, amendment, merger, or MEX packets",1987-1990,primary Ohio images confirmed,Renamed from New Albany 84 on 1987-04-16; merged into Autumn Acres 1990-12-28,high-priority alias and successor property pivot,G131_1185; G148_0780; H052_1482; H052_1498; FINDING:14575; FINDING:14577,"One charter, not two entities. Search both names before the merger and Autumn Acres after it; unnamed shareholders do not establish beneficial ownership."
"129 Associates, Inc.",129 Associates Inc.; Ohio 698296,Ohio corporation / merged property candidate,Ohio,698296,dead / merged out,"475 Metro Place North, Suite 200, Dublin, OH 43017-1374; SKWR filing route",No parcel or deed verified; generic merger succession only,"No Epstein role appears in the reviewed articles, merger, or MEX packets","No Wexner role appears in the reviewed articles, merger, or MEX packets",1987-1990,primary Ohio images confirmed,Merged into Autumn Acres 1990-12-28; sole shareholder unnamed,successor-chain property pivot,G131_1191; H052_1482; H052_1501; FINDING:14575,Sequential charter with New Albany 84/74 supports a formation batch but not common ownership.
Rockyridge Development Corp.,Rockyridge Development Corporation; Ohio 714669,Ohio corporation / merged development candidate,Ohio,714669,dead / merged out,"41 S High St., Suite 2300, Columbus, OH 43215",No parcel or deed verified; generic merger succession only,"No Epstein role appears in the reviewed articles, merger, or MEX packets","No Wexner role appears in the reviewed articles, merger, or MEX packets",1987-1990,primary Ohio images confirmed,Merged into Autumn Acres 1990-12-28; sole shareholder unnamed,successor-chain property pivot,G294_1075; H052_1482; H052_1504; FINDING:14575,Search the predecessor through the merger date and Autumn Acres afterward; the filings identify no actual parcel.
"Tumbleweed Estates, Inc.",Tumbleweed Estates Inc.; Ohio 714671,Ohio corporation / merged estate-name candidate,Ohio,714671,dead / merged out,"41 S High St., Suite 2300, Columbus, OH 43215",No parcel or deed verified; generic merger succession only,"No Epstein role appears in the reviewed articles, merger, or MEX packets","No Wexner role appears in the reviewed articles, merger, or MEX packets",1987-1990,primary Ohio images confirmed,Merged into Autumn Acres 1990-12-28; sole shareholder unnamed,successor-chain property pivot,G294_1088; H052_1482; H052_1507; FINDING:14575,Search the predecessor through the merger date and Autumn Acres afterward; the filings identify no actual parcel.
"Bearce Hollow, Inc.",Bearce Hollow Inc.; Ohio 689665,Ohio corporation / merged land-name candidate,Ohio,689665,dead / merged out,"Columbus, Franklin County; SKWR filing and service routes at 41 S High St.",No parcel or deed verified; any property passed to Rocky Fork in 1987,No Epstein role appears in the reviewed exact-charter packets,No Wexner role appears in the reviewed exact-charter packets; Wexner later led survivor Rocky Fork,1986-1987,primary Ohio full-history and reciprocal merger images confirmed,Merged into Rocky Fork Development Corporation 1987-12-31; sole shareholder unnamed,confirmed network successor and property pivot,G043_1718; G296_1202; G313_0688; G313_0695; FINDING:14578; FINDING:14565,All 21 pages were visually reviewed. Snow appears only as statutory agent. The agreement describes a mutual shareholder but names no person; no actual parcel is identified.
"Plain Designs, Incorporated",Plain Designs Inc.; Ohio 713839,Ohio corporation / agent-date administrative cluster,Ohio,713839,dead / dissolved,"41 S High St., 23rd Floor, Columbus, OH 43215",No parcel or deed verified,No Epstein role appears in the complete packets,No Wexner role appears in the complete packets,1987-1988,primary Ohio articles and dissolution images confirmed,Dissolved 1988-12-28; sole shareholder unnamed,bounded filing negative / low-priority property search,G287_0729;G532_1174;FINDING:14574;OH-SOS:728764:G532_0974,"Snow was incorporator/agent and later secretary; Schwartz and Rubenstein were officers. Shared template and counsel do not establish ownership. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Hareck Enterprises, Inc.",Hareck Enterprises Inc.; Ohio 713840,Ohio corporation / agent-date administrative cluster,Ohio,713840,dead / dissolved,"41 S High St., 23rd Floor, Columbus, OH 43215",No parcel or deed verified,No Epstein role appears in the complete packets,No Wexner role appears in the complete packets,1987-1988,primary Ohio articles and dissolution images confirmed,Dissolved 1988-12-28; sole shareholder unnamed,bounded filing negative / low-priority property search,G287_0735;G532_1090;FINDING:14574;OH-SOS:728764:G532_0974,"Snow was incorporator/agent and later secretary; Schwartz and Rubenstein were officers. Shared template and counsel do not establish ownership. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Maplegrove Properties, Inc.",Maplegrove Properties Inc.; Ohio 713841,Ohio corporation / name-led property candidate,Ohio,713841,dead / dissolved,"41 S High St., 23rd Floor, Columbus, OH 43215",No parcel or deed verified,No Epstein role appears in the complete packets,No Wexner role appears in the complete packets,1987-1988,primary Ohio articles and dissolution images confirmed,Dissolved 1988-12-28; sole shareholder unnamed,bounded filing negative / property search,G287_0741;G532_1132;FINDING:14574;OH-SOS:728764:G532_0974,"Snow was incorporator/agent and later secretary; Schwartz and Rubenstein were officers. Shared template and counsel do not establish ownership. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Redwood Stables, Inc.",Redwood Stables Inc.; Ohio 713842,Ohio corporation / name-led property candidate,Ohio,713842,dead / dissolved,"41 S High St., 23rd Floor, Columbus, OH 43215",No parcel or deed verified,No Epstein role appears in the complete packets,No Wexner role appears in the complete packets,1987-1988,primary Ohio articles and dissolution images confirmed,Dissolved 1988-12-28; sole shareholder unnamed,bounded filing negative / property search,G287_0747;G532_1192;FINDING:14574;OH-SOS:728764:G532_0974,"Snow was incorporator/agent and later secretary; Schwartz and Rubenstein were officers. Shared template and counsel do not establish ownership. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Eastside Industrial, Inc.",Eastside Industrial Inc.; Ohio 689908,Ohio corporation / merger survivor and industrial-name candidate,Ohio,689908,dead / survived merger then dissolved,"Columbus, Franklin County; 41 S High St., Suite 3710 and Suite 2300",No parcel or deed verified; succeeded to any Great Eastern property on 1989-12-22,No Epstein role appears in the seven reviewed Eastside/Great Eastern packets,No Wexner role appears in the seven reviewed Eastside/Great Eastern packets,1986-1989,"primary Ohio full-history, merger, and dissolution images confirmed",Survived Great Eastern merger 1989-12-22; dissolved 1989-12-29; sole shareholder unnamed,successor-chain property pivot / bounded filing negative,G046_1780; G296_1217; G769_0688; G805_0338; FINDING:14579,Harold L. Levin was president and sole director at dissolution; Stanley Schwartz Jr. was secretary and Snow agent. No-personal-property language does not rule out real estate or identify an asset recipient.
Great Eastern Fastening Corp.,Great Eastern Fastening Corporation; Ohio 689907,Ohio corporation / merged industrial-name candidate,Ohio,689907,dead / merged out,"Columbus, Franklin County; SKWR filing route at 41 S High St.",No parcel or deed verified; any property passed to Eastside in 1989,No Epstein role appears in the seven reviewed Eastside/Great Eastern packets,No Wexner role appears in the seven reviewed Eastside/Great Eastern packets,1986-1989,primary Ohio full-history and reciprocal merger images confirmed,Merged into Eastside Industrial 1989-12-22; sole shareholder unnamed,successor-chain property pivot / bounded filing negative,G046_1772; G296_1223; G769_0688; G769_0695; FINDING:14579,The exact-charter MEX packet omits the survivor; the substantive agreement supplies the edge. Search Great Eastern through the merger date and Eastside afterward.
"Carlisle Meadows, Inc.",Carlisle Meadows Inc.; Ohio 689663,Ohio corporation / land-name property candidate,Ohio,689663,dead / dissolved,"Columbus, Franklin County; CT Corporation System at Carew Tower, Cincinnati; later 41 S High St., Suite 2300/23rd Floor, Columbus, OH 43215",No parcel or deed verified,"No Epstein role appears in the complete formation, agent-change, and dissolution packets","No Wexner role appears in the complete formation, agent-change, and dissolution packets",1986-1988,primary Ohio images confirmed,Dissolved 1988-12-28; sole shareholder unnamed,bounded filing negative / property follow-up,G043_1702;G296_1208;G532_0994;FINDING:14580;OH-SOS:728764:G532_0974,"Shared law-firm administration does not establish beneficial ownership. The no-personal-property affidavit does not address real estate; no asset recipient is named. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Daiseyland Farms, Inc.","Daiseyland Farms Inc.; Daisyland Farms, Inc. (1990 dissolution spelling); Ohio 689454",Ohio corporation / land-name property candidate,Ohio,689454,dead / dissolved,"Columbus, Franklin County; CT Corporation System at Carew Tower, Cincinnati; later 41 S High St., Suites 1750 and 2300, Columbus, OH 43215",No parcel or deed verified,"No Epstein role appears in the complete formation, agent-change, and dissolution packets","No Wexner role appears in the complete formation, agent-change, and dissolution packets",1986-1990,primary Ohio images confirmed,Dissolved 1990-12-28; sole shareholder unnamed,bounded filing negative / property follow-up,G041_1751; G296_1214; H052_1510; FINDING:14580,"The terminal packet's Daisyland spelling is a search alias, not proof of a legal name change. Snow's vice-president and agent roles do not establish ownership. The no-personal-property affidavit does not address real estate."
"Frontier Hills, Inc.",Frontier Hills Inc.; Ohio 689662,Ohio corporation / land-name property candidate,Ohio,689662,dead / dissolved,"Columbus, Franklin County; CT Corporation System at Carew Tower, Cincinnati; later 41 S High St., Suite 2300/23rd Floor, Columbus, OH 43215",No parcel or deed verified,"No Epstein role appears in the complete formation, agent-change, and dissolution packets","No Wexner role appears in the complete formation, agent-change, and dissolution packets",1986-1988,primary Ohio images confirmed,Dissolved 1988-12-28; sole shareholder unnamed,bounded filing negative / property follow-up,G043_1694;G296_1195;G532_1066;FINDING:14580;OH-SOS:728764:G532_0974,"Shared law-firm administration does not establish beneficial ownership. The no-personal-property affidavit does not address real estate; no asset recipient is named. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Gahanna Trucking, Inc.",Gahanna Trucking Inc.; Ohio 689906,Ohio corporation / trucking-name operational or property candidate,Ohio,689906,dead / dissolved,"Columbus, Franklin County; CT Corporation System at Carew Tower, Cincinnati; later 41 S High St., Suite 2300/23rd Floor, Columbus, OH 43215",No parcel or deed verified,"No Epstein role appears in the complete formation, agent-change, and dissolution packets","No Wexner role appears in the complete formation, agent-change, and dissolution packets",1986-1988,primary Ohio images confirmed,Dissolved 1988-12-28; sole shareholder unnamed,bounded filing negative / property follow-up,G046_1764;G296_1220;G532_1072;FINDING:14580;OH-SOS:728764:G532_0974,"The formation cover letter proves a filing batch with Great Eastern Fastening and Eastside Industrial, not ownership. The no-personal-property affidavit does not address real estate; no asset recipient is named. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Greystone Acres, Inc.",Greystone Acres Inc.; Ohio 689446,Ohio corporation / land-name property candidate,Ohio,689446,dead / dissolved,"Columbus, Franklin County; CT Corporation System at Carew Tower, Cincinnati; later 41 S High St., Suite 2300/23rd Floor, Columbus, OH 43215",No parcel or deed verified,"No Epstein role appears in the complete formation, agent-change, and dissolution packets","No Wexner role appears in the complete formation, agent-change, and dissolution packets",1986-1988,primary Ohio images confirmed,Dissolved 1988-12-28; sole shareholder unnamed,bounded filing negative / property follow-up,G041_1688;G296_1199;G532_1084;FINDING:14580;OH-SOS:728764:G532_0974,"Shared law-firm administration does not establish beneficial ownership. The no-personal-property affidavit does not address real estate; no asset recipient is named. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Brewer Farms, Inc.",Brewer Farms Inc.; Ohio 689664,Ohio corporation / farm-name property candidate,Ohio,689664,dead / merged out,"Columbus, Franklin County; CT Corporation System at Carew Tower, Cincinnati; later c/o Schwartz, Kelm, Warren & Rubenstein, 41 S High St., Suite 2300, Columbus, OH 43215",No parcel or deed verified,"No Epstein role appears in the complete formation, agent-change, and MEX-status packets","No Wexner role appears in the complete formation, agent-change, and MEX-status packets",1986-1987,primary Ohio full-history and MEX-status images confirmed,Merged out 1987-12-31; survivor unresolved,bounded filing negative / property and survivor follow-up,G043_1710; G296_1205; G313_0675; FINDING:14581,"All 14 pages were visually reviewed. Snow appears only as statutory agent and Coppel's exact signing capacity is illegible. The name and shared filing cluster do not establish property ownership, common control, or a merger survivor."
"Central Falls, Inc.",Central Falls Inc.; Ohio 689666,Ohio corporation / administrative-batch candidate,Ohio,689666,dead / merged out,"Columbus, Franklin County; CT Corporation System at Carew Tower, Cincinnati; later c/o Schwartz, Kelm, Warren & Rubenstein, 41 S High St., Suite 2300, Columbus, OH 43215",No parcel or deed verified,"No Epstein role appears in the complete formation, agent-change, and MEX-status packets","No Wexner role appears in the complete formation, agent-change, and MEX-status packets",1986-1987,primary Ohio full-history and MEX-status images confirmed,Merged out 1987-12-31; survivor unresolved,bounded filing negative / property and survivor follow-up,G043_1726; G296_1211; G313_0685; FINDING:14582,"All 14 pages were visually reviewed. Snow appears only as statutory agent and Coppel's exact signing capacity is illegible. The name and shared filing cluster do not establish property ownership, common control, or a merger survivor."
The Leslie H. Wexner Foundation,Leslie H. Wexner Foundation; Ohio 658659,Ohio foundation / reported merger predecessor,Ohio,658659,inactive,Exact administrative and property addresses pending primary Ohio packet review,No parcel or deed verified,No exact-entity Epstein role confirmed; commissioned review reports his survivor-side trustee signature on a joint merger action,Wexner-associated foundation,1985-1993 registry life; 1993 reported merger,Official Ohio registry metadata plus commissioned review; primary Ohio merger packets pending,Reported predecessor in 1993 merger into The Wexner Foundation; reciprocal packet not retrieved,merger-party seed / primary Ohio history pending,OH-REGISTRY:658659; wexner_foundation_review,Do not infer that Epstein was an officer or trustee of this predecessor from a signature made as trustee of the survivor.
"Blueberry Ridge Properties, Inc.","Blueberry Ridge Properties, Inc.; Ohio 714670",Ohio corporation / verified merger predecessor and property-name lead,Ohio,714670,dead / merged out,"41 S High St., Suite 2300, Columbus; MEX status returned to 5906 E Dublin-Granville Rd., New Albany",No deed or parcel verified,No Epstein role appears in the available exact-charter or merger packets,New Albany Company received processing correspondence but was not a named merger constituent,1987-1995,primary available Ohio images and substantive merger certificate confirmed,Merged into Eastern Ohio Holding Company 1995-12-29; two history images unavailable,successor-aware property pivot,G294_1082;5422_1190;5422_1209;FINDING:14583;FINDING:14646,"The property-name signal is not title evidence. Search Blueberry Ridge through the merger date and Eastern Ohio afterward."
"Cedar Canyon Properties, Inc.","Cedar Canyon Properties, Inc.; Ohio 714673",Ohio corporation / verified merger predecessor and property-name lead,Ohio,714673,dead / merged out,"41 S High St., Suite 2300, Columbus; MEX status returned to 5906 E Dublin-Granville Rd., New Albany",No deed or parcel verified,No Epstein role appears in the available exact-charter or merger packets,New Albany Company received processing correspondence but was not a named merger constituent,1987-1995,primary available Ohio images and substantive merger certificate confirmed,Merged into Eastern Ohio Holding Company 1995-12-29; two history images unavailable,successor-aware property pivot,G294_1100;5422_1190;5422_1215;FINDING:14583;FINDING:14646,"The property-name signal is not title evidence. Search Cedar Canyon through the merger date and Eastern Ohio afterward."
Chestnut Heights Corporation,Chestnut Heights Corporation; Ohio 714674,Ohio corporation / property-name or administrative candidate,Ohio,714674,dead / dissolved,"41 S High St., Suite 2300 and later 23rd Floor, Columbus, OH 43215",No deed or parcel verified; official Franklin property source not integrated,No Epstein role appears in the available exact-charter packets,No Wexner role appears in the complete exact-charter packets,1987-1988,primary Ohio articles and dissolution images confirmed; property source unavailable,Dissolved 1988-12-28; sole shareholder unnamed,bounded filing negative / property follow-up,G294_1106;G532_1012;FINDING:14583;OH-SOS:728764:G532_0974,"Shared law-firm administration does not establish beneficial ownership. The no-personal-property affidavit does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
Plateau Acres Incorporated,Plateau Acres Incorporated; Ohio 714672,Ohio corporation / property-name or administrative candidate,Ohio,714672,dead / dissolved,"41 S High St., Suite 2300 and later 23rd Floor, Columbus, OH 43215",No deed or parcel verified; official Franklin property source not integrated,No Epstein role appears in the available exact-charter packets,No Wexner role appears in the complete exact-charter packets,1987-1988,primary Ohio articles and dissolution images confirmed; property source unavailable,Dissolved 1988-12-28; sole shareholder unnamed,bounded filing negative / property follow-up,G294_1094;G532_1186;FINDING:14583;OH-SOS:728764:G532_0974,"Shared law-firm administration does not establish beneficial ownership. The no-personal-property affidavit does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Fordham Investment, Inc.",Fordham Investment Inc.,Ohio corporation / investment-name property lead,Ohio,719941,dead / dissolved,"41 S. High St., Suite 2300 / 23rd Floor, Columbus, OH 43215",No parcel is identified in the corporate packets; county property search not started,No Epstein role appears in the complete exact-charter filing history,No Wexner role appears in the complete exact-charter filing history,1988-03-04 to 1988-12-28,complete primary Ohio filing history and images confirmed; property records not searched,Dissolved 1988-12-28 after an unnamed sole-shareholder resolution; no merger or asset recipient identified,property-record follow-up,G339_1075;G532_1048;FINDING:14584;OH-SOS:728764:G532_0974,"The dissolution's no-personal-property affidavit does not address real estate. Shared counsel, template, and dates do not establish ownership. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Linden Acres, Inc.",Linden Acres Inc.,Ohio corporation / acreage-name property lead,Ohio,719942,dead / dissolved,"41 S. High St., Suite 2300 / 23rd Floor, Columbus, OH 43215",No parcel is identified in the corporate packets; county property search not started,No Epstein role appears in the complete exact-charter filing history,No Wexner role appears in the complete exact-charter filing history,1988-03-04 to 1988-12-28,complete primary Ohio filing history and images confirmed; property records not searched,Dissolved 1988-12-28 after an unnamed sole-shareholder resolution; no merger or asset recipient identified,property-record follow-up,G339_1082;G532_1120;FINDING:14584;OH-SOS:728764:G532_0974,"The dissolution's no-personal-property affidavit does not address real estate. Shared counsel, template, and dates do not establish ownership. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Rockford Development, Inc.",Rockford Development Inc.,Ohio corporation / development-name property lead,Ohio,719944,dead / dissolved,"41 S. High St., Suite 2300 / 23rd Floor, Columbus, OH 43215",No parcel is identified in the corporate packets; county property search not started,No Epstein role appears in the complete exact-charter filing history,No Wexner role appears in the complete exact-charter filing history,1988-03-04 to 1988-12-28,complete primary Ohio filing history and images confirmed; property records not searched,Dissolved 1988-12-28 after an unnamed sole-shareholder resolution; no merger or asset recipient identified,property-record follow-up,G339_1096;G532_1204;FINDING:14584;OH-SOS:728764:G532_0974,"The dissolution's no-personal-property affidavit does not address real estate. Shared counsel, template, and dates do not establish ownership. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"Tudor Properties, Inc.",Tudor Properties Inc.,Ohio corporation / verified merger predecessor and property lead,Ohio,719945,dead / merged out,"41 S. High St., Suite 2300, Columbus, OH 43215; MEX status returned to 5906 E Dublin-Granville Rd., New Albany, OH 43054",No parcel identified in the corporate packets,No Epstein role appears in the available exact-charter or merger packets,New Albany Company is only a processing-return recipient and not a named merger constituent,1988-03-04 to 1995-12-29,primary available Ohio images and substantive merger certificate confirmed; two 1993 rows unavailable,Merged into Eastern Ohio Holding Company 1995-12-29,successor-aware property pivot,G339_1103;5422_1190;5422_1212;FINDING:14584;FINDING:14646,"Search Tudor through the merger date and Eastern Ohio afterward. Shared processing routing does not establish ownership."
"Forrest Farms, Inc.",Forrest Farms Inc.,Ohio corporation / farm-name property lead,Ohio,719946,dead / dissolved,"41 S. High St., Suite 2300 / 23rd Floor, Columbus, OH 43215",No parcel is identified in the corporate packets; county property search not started,No Epstein role appears in the complete exact-charter filing history,No Wexner role appears in the complete exact-charter filing history,1988-03-04 to 1988-12-28,complete primary Ohio filing history and images confirmed; property records not searched,Dissolved 1988-12-28 after an unnamed sole-shareholder resolution; no merger or asset recipient identified,property-record follow-up,G339_1110;G532_1060;FINDING:14584;OH-SOS:728764:G532_0974,"The dissolution's no-personal-property affidavit does not address real estate. Shared counsel, template, and dates do not establish ownership. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
CASELIN DEVELOPMENT CORPORATION,,Ohio corporation / candidate property vehicle,Ohio,720246,dissolved,"c/o Schwartz, Kelm, Warren & Rubenstein, 41 S. High Street, Suite 2300, Columbus, Ohio 43215",No deed or parcel verified in this filing-history review,Not named in complete live exact-charter filing history,Not named in complete live exact-charter filing history,1988-03-09 to 1988-12-28,primary Ohio filing images confirmed; property identity unverified,Dissolved 1988-12-28; no merger or asset recipient identified,candidate,G342_0153;G532_1000;FINDING:14586;OH-SOS:728764:G532_0974,"Development in the name supports a recorder search but does not prove landholding. Sole shareholder unnamed; no-personal-property affidavit does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
"FORMAN FARMS, INC.",,Ohio corporation / candidate property vehicle,Ohio,720360,dissolved,"c/o Schwartz, Kelm, Warren & Rubenstein, 41 S. High Street, Suite 2300, Columbus, Ohio 43215",No deed or parcel verified in this filing-history review,Not named in complete live exact-charter filing history,Not named in complete live exact-charter filing history,1988-03-09 to 1988-12-28,primary Ohio filing images confirmed; property identity unverified,Dissolved 1988-12-28; no merger or asset recipient identified,candidate,G343_0224; G532_1054;FINDING:14586,Farms in the name supports a recorder search but does not prove landholding. Sole shareholder unnamed; no-personal-property affidavit does not address real estate.
SAREN INVESTMENTS INCORPORATED,,Ohio corporation / candidate property vehicle,Ohio,720362,dissolved,"c/o Schwartz, Kelm, Warren & Rubenstein, 41 S. High Street, Suite 2300, Columbus, Ohio 43215",No deed or parcel verified in this filing-history review,Not named in complete live exact-charter filing history,Not named in complete live exact-charter filing history,1988-03-09 to 1988-12-28,primary Ohio filing images confirmed; property identity unverified,Dissolved 1988-12-28; no merger or asset recipient identified,candidate,G343_0238;G532_1216;FINDING:14586;OH-SOS:728764:G532_0974,"Investments in the name supports a recorder search but does not prove landholding. Sole shareholder unnamed; no-personal-property affidavit does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
TANDEM INVESTMENTS INCORPORATED,,Ohio corporation / candidate property vehicle,Ohio,720363,dissolved,"c/o Schwartz, Kelm, Warren & Rubenstein, 41 S. High Street, Suite 2300, Columbus, Ohio 43215",No deed or parcel verified in this filing-history review,Not named in complete live exact-charter filing history,Not named in complete live exact-charter filing history,1988-03-09 to 1988-12-28,primary Ohio filing images confirmed; property identity unverified,Dissolved 1988-12-28; no merger or asset recipient identified,candidate,G343_0245;G532_1222;FINDING:14586;OH-SOS:728764:G532_0974,"Investments in the name supports a recorder search but does not prove landholding. Sole shareholder unnamed; no-personal-property affidavit does not address real estate. Argotron G532_0974 p.7 establishes inclusion in a 46-company administrative dissolution batch; it does not establish common ownership, common control, a shared property portfolio, or beneficial ownership."
