name,category,flags,clean_pages,total_pages,noise_pct,findings_exact,findings_text,variants
Scott Rothstein,,,637,678,6.0,0,2,Scott Rothstein; SCOTT ROTHSTEIN; Scott W. Rothstein; scott rothstein
Igala Joseph,,,629,629,0.0,0,0,Joseph Igala; Igala Joseph; Igaia Joseph; Iqala Joseph
KAREN A. WANEK,,,626,626,0.0,0,7,KAREN A. WANEK; KAREN WANEK; Karen A. Wanek; Karen A. WANЕK
TOM MELNICK,,,625,629,0.6,0,0,TOM MELNICK; Tom Melnick; Thomas Melnick; TOM MELNICKI
Kevin Law,,,624,634,1.6,0,1,Kevin Law; kevin law; Kevin Lee; Kevin Lu
ANDREW ROHRBACH,associate,,622,628,1.0,0,0,"Andrew Rohrbach; ANDREW ROHRBACH; Andrew A. Rohrbach; Rohrbach, Andrew"
Tancredi Marchiolo,other,,622,622,0.0,3,5,Tancredi Marchiolo; Tanc=edi Marchiolo; Tancredi Marchiol; Tancredi Marchioll
Warren Eisenstein,,,621,638,2.7,0,0,Warren Eisenstein; WARREN EISENSTEIN; WArren Eisenstein; WARREN EISENSTEN
Seth Lloyd Seth,academic,,617,630,2.1,0,3,Seth Lloyd; seth lloyd; Seth LLoyd; Seth L Lloyd
Joseph Cothron,,,611,611,0.0,0,0,Joseph Cothron; Joe Cothron; Joseph Cothran; joseph cothron
Eduardo Teodorani,politician,,610,619,1.5,44,57,Eduardo Teodorani; TEODORANI Eduardo; Eduardo TEODORANI; Eduardo (CNH) TEODORANI
Simon Ghraichy,,,610,615,0.8,0,0,Simon Ghraichy; Simin Ghraichy; Simon Ghraich; Simo Ghraichy
"Probert, Clare",,,609,609,0.0,0,1,Clare Probert; Claire Probert; Clar Probert; Gl=ria
ERIC GANY/G M,associate,,608,609,0.2,0,1,ERIC GANY; Eric Gany; ERIC GANEY; ERIC GANI
Jean Huguen,,,606,606,0.0,0,0,Jean Huguen; Jean HUGUEN; jean huguen; JEAN HUGUEN
Gregory Riches,,,605,609,0.7,0,0,"Gregory Riches; GREGORY RICHES; Riches, Gregory; regory Riches"
J. Ray Ormond,associate,,602,604,0.3,0,0,Ray Ormond; J. Ray Ormond; Ormond Ray; Ray Ormonde
Warwick Wicksman,,,601,601,0.0,0,0,Warwick Wicksman; War=ick Wicksman; Warrick Wicksman; Warwick Wi=ksman
RODGERS/DAVID MR,associate,,592,597,0.8,0,1,David Rodgers; Dave Rogers; DAVID RODGERS; David Rogers
Rosa da Silva,,,592,592,0.0,0,0,"Rosa da Silva; Rosa M da Silva; Rosa M. da Silva; da Silva, Rosa M"
Nili Priel,other,,579,580,0.2,0,5,Nili Priell; Nili Prielli; Nili Priel; NILI PRIELL
Francisco D'Agostino,,,563,564,0.2,0,0,Francisco D'Agostino; Franco D'Agostino; Fran=isco D'Agostino; Francis D'Agostino
Elon Musk,business,,561,585,4.1,33,54,Elon Musk; elon musk; Elon musk; Musk Elon
Lisa Randall,academic,,559,564,0.9,0,0,Lisa Randall; lisa randall; Lisa randall; LISA RANDALL
Masha Drokova,business,,555,563,1.4,41,51,Masha Drokov; Masha Drokova; Masha Drogova; Masha Drokovа
Edward Boyden,academic,,548,561,2.3,0,5,Ed Boyden; Edward Boyden; ed boyden; EDWARD BOYDEN
Glenn Dubin,business,,544,553,1.6,24,44,"Glenn Dubin; Dubin, Glenn; GLENN DUBIN; glenn dubin"
Meredith Schultz,,,539,549,1.8,0,0,Meredith Schultz; Meredith L. Schultz; Meridith Schultz; Mendith Schultz
Minor Victim-1,associate,,537,537,0.0,0,0,Minor Victim-3; Minor Victim-1; Minor Victim-2; Minor Victim-4
Andrew Gallivan,,,537,538,0.2,0,0,Andrew Gallivan; Andrew F Gallivan; Andrew Galivan; Andrew gallivan
Mary Casey,,,536,538,0.4,0,0,Mary Casey; Mary C Casey; Casey Mary C; MARY C CASEY
Kimberly Feierstein,,,526,526,0.0,0,0,"Kimberly Feierstein; Feierstein, Kimberly; Feierstein Kimberly"
Les Wexner,business,,514,585,12.1,26,46,Leslie Wexner; Les Wexner; LES WEXNER; Lex Wexner
Matthew I. Menchel,associate,,511,523,2.3,0,2,Matthew I. Menchel; Matt Menchel; Matthew Menchel; Matthew I. Menchell
Neil Gershenfeld,,,511,524,2.5,0,0,Neil Gershenfeld; neil gershenfeld; NEIL GERSHENFELD; Gershenfeld Neil
Linda Pinto,other,,509,515,1.2,0,0,Linda Pinto; Linda PINTO; linda pinto; LINDA PINTO
Barbro Ehnbom,other,,509,514,1.0,1,1,Barbro Ehnbom; Barbro C. Ehnbom; Barbro C Ehnbom; Barbro Ehnibom
David Boies,legal,,505,520,2.9,0,7,"David Boies; David Bois; David Boies, II; DAVID BOIES"
Mary Erdoes,business,,502,512,2.0,0,0,"Mary Erdoes; Mary E Erdoes; Erdoes, Mary E; Mary Erdos"
Richard Axel,other,,498,513,2.9,0,6,"Richard Axel; richard axel; Axel, Richard; Richard axel"
Jason Grosse,,,497,497,0.0,0,0,"Jason Grosse; Jason A Grosse; Grosse, Jason A; JASON A GROSSE"
Todd Stevens,,,490,491,0.2,0,5,Todd Stevens; Ted Stevens
Armen Brash,,,485,491,1.2,0,0,Armen Brash
Joe Thakuria,,,475,504,5.8,0,0,Joe Thakuria; Joseph Thakuria; Joe Thakura; joe thakuria
ALI RASHID,,,474,474,0.0,0,4,ALI RASHID; Ali Rashid; ali rashid; Ali Rasheed
Jim Watson,,,474,476,0.4,0,3,Jim Watson; Dr. Jim Watson; james watson; James D. Watson
Kimberly Hart,,,474,474,0.0,0,0,Kimberly Hart; kimberly.hart
Marc Dober,,,473,477,0.8,0,0,Marc Dober; mark dober; Mark Dober; MARC S DOBER
Arthur Tendler,,,463,552,16.1,0,0,Arthur Tendler; ARTHUR TENDLER; Arthur Tundler; arthur.tendler
Terje Roed-Larsen,politician,,460,467,1.5,21,37,Terje Roed Larsen; Terje Roed-Larsen; Terje Rod Larsen; terje larson
Alex. Brown,,,459,462,0.6,0,2,"Alex. Brown; Alex Brown; ALEX BROWN; Alex, Brown"
Julie Shample,,,459,459,0.0,0,0,"Julie Shample; Shample, Julie; Julie A. Shample; JULIE SHAMPLE"
Kevin Ouvre,,,454,454,0.0,0,0,Kevin Ouvre; Kevin Ouvré; Kévin Ouvré; kevin ouvre
Ramon Alonso,,,453,453,0.0,0,0,Ramon Alonso; R=mon Alonso; Raimon Alonso; ramon alonso
Michael Ross,,,453,454,0.2,0,0,Michael Ross; Mike Ross; michael ross; mike Ross
Matt Glassman,,,453,453,0.0,0,0,Matt Glassman; matt.glassman; Matt Glaseman; Matt Glasman
Larry Newman,,,449,462,2.8,0,4,"Larry Newman; LAWRENCE NEWMAN; Lawrence Newman; Newman, Lawrence"
Russell Hernandez,,,435,436,0.2,0,0,Russell Hernandez; Russell Hern=ndez; ussell Hernandez; Russ Hernandez
Jeffery Edwards,,,434,437,0.7,0,0,Jeffery Edwards; J=ffery Edwards; JEFFERY EDWARDS; effery Edwards
Heidi Holterbosch,,,433,439,1.4,1,2,Heidi Holterbosch; Heidi HOLterbosch; Heidi holterbosch; Heidi HOLTERBOSCH
CAMILLO D'ORAZIO,,,432,432,0.0,0,1,"CAMILLO D'ORAZIO; D'ORAZIO CAMILLO; D'ORAZIO,CAMILLO; Camillo A D'Orazio"
Ben Goertzel,other,,431,449,4.0,0,2,"Ben Goertzel; Benjamin Goertzel; Ben Goertzel, PhD; Ben G=ertzel"
Tyler Shears,,,431,460,6.3,0,0,Tyler Shears; Tyl=r Shears
Delson George,,,430,436,1.4,0,0,George Delson; george delson; George V. Delson; Delson George
MORRISON /LARRY,other,,429,436,1.6,0,0,Larry Morrison; LARRY MORRISON; Larry E. Morrison; Mary Morrison
Marvin Minsky,academic,,429,447,4.0,0,6,Marvin Minsky; Marvin L Minsky; MARVIN MINSKY; marvin minsky
Amy Cassell,,,427,430,0.7,0,0,Amy Cassell; Amy Cassel; Amy Casell; amy Cassell
Rich Cortese,,,427,435,1.8,0,0,Rich Cortese; Rich cortese; rich cortese; rich Cortese
Marc S. Nurik,,,425,429,0.9,0,0,Marc S. Nurik; Marc Nurik; Mark Nurik; MARC S. NURIK
Jeremy Rubin,academic,,423,428,1.2,0,1,Jeremy Rubin; Rubin Jeremy; Jeromy Rubin; Jerry Rubin
Tommy Mottola,business,,423,432,2.1,0,1,Tommy Mottola; TOMMY MOTTOLA; Tommy Matola; tommy motolla
Ari Glass,,,419,422,0.7,0,2,Ari Glass; Ari Glas; ari glass; ARI Glass
Mark Whyman,,,419,419,0.0,0,0,Mark Whyman; mark Whyman; mark whyman; mark.whyman
Andrew King,,,417,420,0.7,0,0,Andrew King; Andrew N. King; Andrew king; Andy King
Janice Franklin,,,416,417,0.2,0,0,Janice Franklin; Janice P. Franklin; Jance Franklin; Joe Franklin
"N'Diaye, Lamine",,,414,419,1.2,0,1,"Lamine N'Diaye; N'Diaye, Lamine; Lamine NDiaye; amine N'Diaye"
KATHRYN SIGISMUND,,,413,413,0.0,0,0,Kathryn Sigismund; KATHRYN SIGISMUND; Kathryn Sigismundi; KATHR YN SIGISMUND
Gianni Serazzi,,,412,412,0.0,0,0,Gianni Serazzi; Gianni S=razzi; G=anni Serazzi; Gia=ni Serazzi
merwin dela,,,412,412,0.0,0,3,merwin dela; Merwin Dela; Merwin Del; Merwin dela
Henry Nicholas,,,411,420,2.1,0,0,Henry Nicholas
Nina Tona,,,411,411,0.0,0,0,Nina Tona; Da=ina
"Robert D. Critton, Jr., ESQ.",,,408,412,1.0,0,1,"Robert D. Critton, Jr.; Robert D. Critton; Robert Critton; Robert D. Critton Jr."
Richard Iarossi,,,404,404,0.0,0,0,Richard Iarossi; Rich Iarossi; Richard Iaross; richard.iarossi
Marie Villafana,legal,,403,420,4.0,1,5,A. Marie Villafana; Ann Marie C. Villafana; A. Marie Villafaña; A. Marie Villafañá
Maxim Churkin,,,403,403,0.0,3,5,"Maxim Churkin; Churkin, Maxim; maxim churkin; Churkin Maxim"
Thomas Magnani,,,403,405,0.5,0,0,Thomas Magnani; Dr. Thomas J. Magnani; Dr Thomas Magnani; Thomas J. Magnani
Gerald Ford,,,403,418,3.6,0,2,Gerald Ford; Gerald R. Ford
Jay Massar,,,403,403,0.0,0,0,Jay Massar; JAY MASSAR; Jay Massari; J. Jay Massar
Jj Litchford,,,401,402,0.2,0,0,Jj Litchford; JJ Litchford; Ji Litchford; jj Litchford
desmond_shum(沈栋),,,399,400,0.2,0,0,Desmond Shum; Desmond shum; desmond shum; desmond_shum
MARA WAGNE,,,398,398,0.0,0,3,MARA WAGNE; SARA WAGNE; SARAH WAGNE
Zbynek Kozelsky,,,396,396,0.0,0,0,Zbynek Kozelsky; Zbynck Kozelsky; Zbhynek Kozelsky; Zbynek Kozelski
Elisa New,academic,,394,412,4.4,0,3,Lisa New; Elisa New; ELISA NEW; Elisa Fawn New
Audrey Strauss,associate,,391,431,9.3,0,5,"Audrey Strauss; AUDREY STRAUSS; Strauss, Audrey; AUDREY STRUASS"
Patrick Fenn,,,391,405,3.5,1,5,"Patrick Fenn; Fenn, Patrick; Patrick B. Fenn; Fenn Patrick"
Mayur Rathod,,,391,392,0.3,0,6,Mayur Rathod; Mayor Rathod
Robert Kuhn,,,391,394,0.8,31,10,Robert Kuhn; Robert L. Kuhn; robert kuhn; Rober Kuhn
Reid Weingarten,legal,,388,401,3.2,23,30,"Reid Weingarten; Weingarten, Reid; REID H. WEINGARTEN; REID WEINGARTEN"
David Gergen,,,388,395,1.8,0,1,David Gergen; david gergen; David R. Gergen; david Gergen
Nathan Wolfe,academic,,387,413,6.3,0,0,Nathan Wolfe; nathan wolfe; nathan wolf; Nathna Wolfe
Vincenzo Lozzo,,,387,388,0.3,0,0,Vincenzo Lozzo; Vincenzo lozzo; vincenzo lozzo; Vin=enzo lozzo
KATI WANEK-FORSYTHE,,,386,386,0.0,0,4,KATI WANEK-FORSYTHE; KATI WANIK-FORSYTHE
Gerald Barton,,,384,384,0.0,0,0,"Gerald Barton; Gerald G. Barton; Barton, Gerald"
Joel Klein,,,384,393,2.3,0,0,"Joel Klein; Klein, Joel; joel kelin; joel klein"
Natalie Barak,,,384,384,0.0,0,4,Natalie Barak; Nataia Barak; Natalia Barak; Nataliu Barak
Valerie Post,,,383,383,0.0,0,15,Valerie Post; valerie post; The Post; Valerie Brazill Post
Alfredo Rodriguez,associate,,382,403,5.2,1,1,"Alfredo Rodriguez; ALFREDO RODRIGUEZ; Eduardo Rodriguez; RODRIGUEZ, ALFREDO"
Ronald Lauder,business,,380,382,0.5,0,6,Ronald Lauder; Ronald S. Lauder; Ron Lauder; ronald lauder
Stephen Caplinger,,,380,382,0.5,0,1,Stephen Caplinger; Stephen M. Caplinger; STEPHEN M. CAPLINGER; Stephen M Caplinger
David Gelernter,academic,,379,385,1.6,0,0,David Gelernter; Daniel Gelernter; Dan Gelernter; Gelernter David
Dick Cavett,celebrity,,374,376,0.5,0,0,Dick Cavett; dick cavett; Dick cavett; Dick Caveit
KATI FORSYTHE,,,374,374,0.0,0,5,KATI FORSYTHE; KATI WANEK- FORSYTHE; Katie Forsythe
Heather Gray,,,373,373,0.0,0,3,Heather Gray; Heath Gray; heather gray; Heathe Gray
Jilla Moazami,,,368,368,0.0,0,0,Jilla Moazami; Jilla Moazam; Jilla Moazamii
Juan Alessi,associate,,366,373,1.9,0,0,Juan Alessi; Juan P. Alessi; JUAN ALESSI; Juan Patricio Alessi
Jack Lang,politician,,364,366,0.5,0,2,Jack Lang; Jack LANG; jack lang; LANG Jack
Jeffrey Matusow,,,364,370,1.6,0,0,Jeffrey Matusow; Jeffrey M Matusow; Jeffrey M. Matusow; Jeff Matusow
Alyson Court,,,363,364,0.3,0,19,THE COURT; Alyson Court
Bill Richardson,politician,,362,391,7.4,0,7,Bill Richardson; bill richardson; Bill richardson; Gov. Bill Richardson
DARREN K. INDYKE PLLC,,,362,362,0.0,95,19,DARREN K. INDYKE PLLC; DARREN K INDYKE PLLC; Darren K. Indyke PLLC; DARRREN K. INDYKE PLLC
Melinda Roy,,,361,364,0.8,0,0,Melinda Roy; 51<y1&R
Roy Black,associate,,356,391,9.0,0,3,Roy Black; Roy BLACK; ROY BLACK; Roy Eric Black
Alexander Acosta,legal,,355,389,8.7,0,7,R. Alexander Acosta; Alexander Acosta; R. ALEXANDER ACOSTA; Alexader Acosta
Edward Jay Epstein,academic,,354,370,4.3,0,529,Ed Epstein; Edward Epstein; Edward Jay Epstein; edward jay epstein
Henry Jarecki,other,,352,352,0.0,0,0,Henry Jarecki; Dr. Henry Jarecki; Henry Jareck; henry jarecki
Thorbjorn Jagland,politician,,351,356,1.4,10,26,"Thorbjorn Jagland; Thorbj
Jagland; thorbjorn jagland; Thorbjon Jagland"
Judge Nathan,,,350,353,0.8,0,1,Judge Nathan; Judge Alison J. Nathan; Judge Alison Nathan
Austin Hill,business,,348,352,1.1,0,4,Austin Hill; Austin Hall; austin hill; Austin hill
Stanley Pottinger,associate,,348,352,1.1,2,4,J. Stanley Pottinger; Stan Pottinger; Stanley Pottinger; Stan J. Pottinger
Yoni Koren,,,348,352,1.1,0,0,Yoni Koren; Yoni koren; Yoni Koran
Dean Kamen,business,,347,358,3.1,0,0,Dean Kamen; dean kamen; Dean KAmen; DEAN KAMEN
"Gerschel, Patrick",,,347,354,2.0,0,0,"Patrick Gerschel; Gerschel, Patrick; Gerschal, Patrick; Patrick A. Gerschel"
"Link, Michael",,,345,346,0.3,0,2,"Michael Link; Link, Michael; Michael L. Link; Dale R. Michael"
RONALD & JOYCE WANEK,,,345,345,0.0,0,9,RONALD & JOYCE WANEK; RONALD WANEK; Ron Wanek; Ronald Wanek
"Warren, Glenn",,,341,349,2.3,0,0,"Glenn Warren; Glen Warren; Warren, Glenn"
Sam Jaradeh,,,341,343,0.6,0,1,Sam Jaradeh; sam jaradeh; Sam Jardeh; Sa= Jaradeh
TODD & KAREN WANEK JTWROS,,,341,341,0.0,15,4,TODD & KAREN WANEK JTWROS; TODD KAREN WANEK JTWROS; TODD R. AND KAREN A. WANEK JTWROS; TODD K KAREN WANEK JTWROS
Leighton Allenby,,,340,340,0.0,0,1,"Leighton Allenby; Leighton T. Allenby; Allenby, Leighton; Leighton=Allenby"
Jerry Barton,,,340,378,10.1,0,1,Jerry Barton; jerry barton; JERRY Barton; Jerry barton
Lawrence Hirsch,,,340,349,2.6,0,0,Lawrence Hirsch
Russell Katulak,,,340,340,0.0,0,0,Russell Katulak; Russell Katulaki; Russel Katulak; Russell K=tulak
Philippe VAN DEN BROEK,,,339,339,0.0,0,1,Philippe VAN DEN BROEK; Philippe Van Den Broek; Philippe Van den Broek; Philippe Van Der BROEK
Peggy Siegel,,,339,341,0.6,0,3,Peggy Siegel; peggy siegel; Peggy Seigel; Peggy siegel
paul prosperi,,,338,342,1.2,0,0,paul prosperi; Paul Prosperi; paul prosper; Paul Prosperri
Nadia Marcinkova,enabler,,335,357,6.2,0,0,Nadia Marcinkova; Nadia Marcinko; Nadia Marcincova; NADIA MARCINKOVA
Allison Reddington,,,335,335,0.0,0,0,Allison Reddington
William Murphy,,,334,339,1.5,0,0,William Murphy; william murphy; William T. Murphy; WILLIAM J MURPHY
GHI SLAINE MAXWELL,,,332,333,0.3,0,0,GHI SLAINE MAXWELL; GHI MAXWELL; MAXWELL GHI SLAINE; GHI SHLAINE MAXWELL
Sandrine PAYET,,,332,332,0.0,0,0,Sandrine PAYET; Sandr=ne PAYET; sandrine PAYET
Richard D'Agostino,,,329,331,0.6,0,2,Richard D'Agostino; Rich D'Agostino; Rich D'agostino; RICHARD D'AGOSTINO
Mathew Negus,,,327,327,0.0,0,0,Mathew Negus; matt negus; mathew negus; mathew.negus
CAMERON WANEK,,,326,326,0.0,0,4,CAMERON WANEK; AMERON WANEK
Carlyn McCaffrey,,,325,335,3.0,0,0,"Carlyn McCaffrey; Carlyn S. McCaffrey; carlyn mccaffrey; McCaffrey, Carlyn"
Lisa Emelia Svensson,,,324,332,2.4,0,0,Lisa Emelia Svensson; Lisa Svensson; lisa svenson; lisa svensson
nili priell,,,323,323,0.0,0,5,nili priell; nili Priell; Priell Nili
DAMIAN WILLIAMS,associate,,321,331,3.0,0,4,Damian Williams; DAMIAN WILLIAMS; Allan Williams; Camila Williams
Ian Slome,,,321,328,2.1,0,0,"Ian Slome; lan Slome; Slome, Ian; Slome Ian"
Joseph Recarey,legal,,320,330,3.0,3,4,"Joseph Recarey; Joe Recarey; RECAREY, JOSEPH; Recarey, Joseph"
Jess Ting,other,,320,322,0.6,0,0,"Jess Ting; Ting, Jess; Dr. Jess Ting; Ting Jess"
Matthew Hiltzik,,,319,320,0.3,0,1,Matthew Hiltzik; Mathew Hiltzik; Matthe w Hiltzik; Matthew Hilitzik
Josh Harris,business,,318,360,11.7,13,26,Josh Harris; Joshua Harris; josh harris; Dr. John Harris
Kenneth Marra,legal,,318,339,6.2,0,1,"Kenneth A. Marra; KENNETH A. MARRA; Kenneth Marra; Marra, Kenneth A"
Max Kohlenberg,,,318,328,3.0,0,16,Max Kohlenberg; A. Max Kohlenberg; Max Kohl=nberg; Max=Kohlenberg
Greg Martin,,,317,325,2.5,0,0,Greg Martin; George Martin; Sir George Martin; GREG MARTIN
Mark Cohen,associate,,316,323,2.2,0,0,Mark S. Cohen; Mark Cohen; MARK S. COHEN; Mark S Cohen
"Ens, Amanda",,,316,320,1.2,0,0,"Ens, Amanda; Amanda Ens; Am=nda Ens; Ens Amanda"
Gov. Richardson,,,316,328,3.7,0,1,Gov. Richardson; Gov Richardson; Governor Richardson; Governor Bill Richardson
Tom Barrack,business,,313,326,4.0,47,65,"Tom Barrack; tom barrack; Thomas J. Barrack, Jr.; Tom barrack"
nick lambros,,,313,330,5.2,0,0,nick lambros; Nick Lambros; Nick Lambrose; NICK LAMBROS
"Pinto Pinto, Alberto",other,,312,315,1.0,0,0,"Alberto Pinto; ALBERTO PINTO; Alberto PINTO; Pinto Pinto, Alberto"
Richard Branson,business,,310,333,6.9,0,0,"Richard Branson; Sir Richard Branson; richard branson; Branson, Richard"
Claudia Leschuck,,,309,309,0.0,0,0,Claudia Leschuck; Claudia Leschuc
Lanna Belohlavek,,,309,323,4.3,0,0,Lanna Belohlavek; Lana Belohlavek; LANNA BELOHLAVEK; Ms. Lanna Belohlavek
jessica banks,,,309,318,2.8,0,0,jessica banks; Jessica Banks; Jessica banks; JESSICA BANKS
"Bard, Dr. Perry",other,,305,305,0.0,0,0,Dr. Perry Bard; Perry Bard; Dr Perry Bard; DR PERRY BOYRD
Lawrence Summers,,,305,333,8.4,23,33,"Lawrence H. Summers; Lawrence Summers; Lawrence H. Sum=ers; Summers, Lawrence H."
Miles Alexander,associate,,300,302,0.7,0,8,MILES ALEXANDER; Eileen Alexander; Miles Alexander; MILE ALEXANDER
Karim Wade,,,300,302,0.7,0,0,Karim Wade; Karim WADE; ME Karim WADE; Karim wade
katya gusarova,,,300,301,0.3,0,0,katya gusarova; Katya Gusarova; Katva Gusarova; katya g=sarova
Richard larossi,,,300,300,0.0,0,0,Richard larossi; Rich larossi; Richard laross; Rich larosi
John look,,,298,301,1.0,0,0,John look; John Look; Jon Luc; john luc
Michael Fowler,,,298,303,1.7,0,0,Michael Fowler; Michael J. Fowler; Mike Fowler; Michael Fuller
Dr. Steven Victor,,,297,318,6.6,0,0,Steven Victor; Steven Victor MD; Dr. Steven Victor; steven victor
LSJ GSJ,,,297,297,0.0,0,0,LSJ GSJ; Lsj Gsj; LSJ GSj
Robert Trivers,academic,,296,310,4.5,0,1,Robert Trivers; Bob Trivers; robert trivers; Dr Robert Trivers
Bill Scherer,,,296,297,0.3,0,1,Bill Scherer; William R. Scherer; William Scherer; bill scherer
Bill Hammond,associate,,295,299,1.3,0,0,Bill Hammond; William Hammond; BILL HAMMOND; Billy Hammond
Cynthia TOBIANO,,,295,301,2.0,0,4,"Cynthia TOBIANO; Cynthia Tobiano; TOBIANO, Cynthia; Tobiano Cynthia"
John Castrucci,,,294,303,3.0,0,2,John Castrucci; John M.Castrucci; John castrucci; John M. Castrucci
Dan Ariely,academic,,293,320,8.4,0,2,Dan Ariely; dan ariely; DAN ARIELY; DAn Ariely
Gerald Lefcourt,legal,,292,318,8.2,0,1,Gerald Lefcourt; Gerald B. Lefcourt; GERALD B. LEFCOURT; GERALD B LEFCOURT
Eileen Alexander son,,,292,299,2.3,0,0,Eileen Alexander son; ileen Alexander son
Jay Lipman,,,292,292,0.0,0,0,Jay Lipman; jay.lipman; Jean Lipman; jay lipman
Bruce Galloway,,,291,298,2.3,0,1,Bruce Galloway; bruce galloway; Bruce Gallaway; BRUCE R. GALLOWAY
Jed Garfield,,,290,296,2.0,0,1,Jed Garfield; Jed H. Garfield; jed garfield; JEd Garfield
Philip Levine,,,289,304,4.9,0,0,"Philip Levine; PHILIP LEVINE; Levine, Philip; philip Levine"
Dawn Henry,,,288,289,0.3,0,0,Dawn Henry; Dawn L. Henry; dawn henry; Dawn L Henry
Roza Kaktus,,,286,286,0.0,0,0,Roza Kaktus
Yvonne Berger,,,286,286,0.0,0,1,Yvonne Berger; YVONNE BERGER; Yves Berger; yvonne berger
Scott J. Link,,,285,286,0.3,0,1,Scott J. Link; Scott Link; Scott J Link; SCOTT LINK
Benny Shabtai,,,284,294,3.4,0,1,Benny Shabtai; benny shabtai; Benny Shabta; Benny Shabtay
Jay Lefkowitz,legal,,283,313,9.6,1,18,Jay Lefkowitz; Jay P. Lefkowitz; JAY LEFKOWITZ; Jay P Lefkowitz
SCOTT STACKMANLYLE CASRIEL,,,283,283,0.0,0,2,SCOTT STACKMANLYLE CASRIEL; SCOTT STACK MANLYLE CASRIEL; SCOTT STACKMAN LYLE CASRIEL; SCOTT STACKMAN/LYLE CASRIEL
Teresa Metallo,,,282,287,1.7,0,0,Teresa Metallo; teresa.metallo; Theresa Metallo
Marjorie Flash,,,281,396,29.0,0,1,Marjorie Flash; Marjorie Y. Flash; Maljorie Flash; Maijorie Flash
Annie Farmer,other,,280,281,0.4,0,3,Annie Farmer; annie farmer; ANNIE FARMER; Ms. Annie Farmer
Antoine Verglas,other,,280,285,1.8,0,0,Antoine Verglas; antoine verglas; Antoine verglas; Antoine Verglass
Geoffrey Berman,legal,,280,305,8.2,0,6,"GEOFFREY S. BERMAN; Geoffrey S. Berman; Berman, Geoffrey; Geoffrey Berman"
Jeannine Jeskewitz,,,278,278,0.0,0,0,"Jeannine Jeskewitz; Jeannine Jeskowitz; Jeskewitz, Jeannine; Jeannine Jskewitz"
Peter Fenwick,,,278,287,3.1,1,6,Peter Fenwick; peter fenwick; PETER FENWICK; peter FENWICK
Frederic Febkkai,,,276,286,3.5,0,0,Frederic Febkkai; Frederic Febbkai; Frederic Febkai; Frederick Febkkai
Henry Rosovsky,academic,,274,284,3.5,0,3,"Henry Rosovsky; Rosovsky, Henry; Henry Rosovosky; HENRY ROSOVSKY"
Sarah Mapes,,,274,274,0.0,0,0,Sarah Mapes; Sara Mapes; Sarah Maps
Nicole Simmons,associate,,269,271,0.7,0,0,Nicole Simmons; Nicole D. Simmons
LEAH KUBIS,,,267,267,0.0,0,3,LEAH KUBIS
lana zakocela,,,267,267,0.0,0,0,lana zakocela; Lana Zakocela; Lan= Zakocela; Lana Z=kocela
Muhammod J Uddin,,,267,267,0.0,0,0,Muhammod J Uddin; Muhammad J Uddin; muhammod.j.uddin; Muhammmod J Uddin
Brian Boyd,,,264,276,4.3,0,0,Brian Boyd; brian boyd; BRIAN BOYD; ian Boyd
Lisa-M Ramos,,,264,267,1.1,0,0,Lisa-M Ramos; lisa-m.ramos; Joy Lisa-M Ramos
Juror ID: 50,associate,,263,266,1.1,0,0,Juror 50; Juror No. 50
Carlo Pirzio-Biroli,,,263,263,0.0,0,0,Carlo Pirzio-Biroli; CARLO PIRZIO-BIROLI
Haley Robson,associate,,262,283,7.4,0,0,"Haley Robson; HALEY ROBSON; ROBSON, HALEY; Hayley Robson"
Jack Horner,academic,,262,277,5.4,0,0,Jack Horner; John Horner; JOHN ROBERT HORNER; jack Horner
"EPSTEIN, =EFFREY",,,261,262,0.4,224,447,effrey Epstein; Effrey Epstein; effrey epstein; =effrey Epstein
GHISLAINE MAXWELL-HY,,,261,261,0.0,10,0,GHISLAINE MAXWELL-HY; GHI SLAINE MAXWELL-HY; GHIISLAINE MAXWELL-HY; GHI LAINE MAXWELL-HY
LAUREN KWINTNER,,,261,261,0.0,0,5,LAUREN KWINTNER; LAUREN J. KWINTNER; Lauren Kwintner; LOUREN KWINTNER
TRAVIS T. WAGN,,,261,261,0.0,0,3,TRAVIS T. WAGN; TRAVIS WAGN; TRAVIS T WAGN; TRAVIS R WAGN
Abraham Lincoln,,,258,264,2.3,0,0,Abraham Lincoln; Abe Lincoln
Erin Cunningham,,,258,271,4.8,0,0,Erin Cunningham; erin cunningham; Merce Cunningham; Eri Cunningham
"Waitt, Ted",,,255,264,3.4,14,23,Ted Waitt; Theodore W Waitt; Ted Wait; TED WAITT
"Pritkzer, Tom",,,254,254,0.0,0,0,"Pritkzer, Tom; Pritzer, Tom; Tom Pritkzer; Pritker, Tom"
James P. McGee,,,251,253,0.8,0,0,James P. McGee; James McGee; james mcgee; Jame McGee
Joe Avantario,,,251,261,3.8,0,1,Joe Avantario; Joseph Avantario; Josep Avantario; Josep= Avantario
Kim Steube,,,251,251,0.0,0,0,Kim Steube; KIM STEUBE; Kim steube
Tom Sze,,,250,252,0.8,0,0,Tom Sze; Tom Szei
Marc Rowan,business,,249,265,6.0,23,42,Marc Rowan; Marc Rowen; Mark Rowan; Marc J Rowan
Shaher Abdulhak,,,249,249,0.0,0,0,Shaher Abdulhak; Shaher Abdulhaki; SHAHER Abdul=HAK
