family_id,member_count,max_score,priority,representative_ref,dates,member_refs,evidence_types,signals,preview
draftfam-1106a435a8bf,10,55,broad,EFTA02475622,";April 7, 2018;February 3, 2016",EFTA00818736;EFTA00835193;EFTA00835208;EFTA00837546;EFTA00837783;EFTA00838054;EFTA01051569;EFTA02472737;EFTA02473504;EFTA02475622,self_addressed;self_copy_with_others,,"Forwarded message From: jeffrey E. Date: Wed, Feb 3, 2016 at 11:23 AM Subject: Fwd: =o: jeffrey Epstein Forwarded message From: jeffrey E. Date: hu, Oct 15, 2015 at 10:38 PM Subject: To: Melanie Spinella Office. = ada goes, hire heather a paralegal. Joslin goes or is closely managed by new cfo wit= tax experience. castrucii goes asap.as he merely adds to mess.( =too many people, ex 7 people or more to pay a bill ) =eva goes. outsource as much as possible. bookkeeping =systems built from scratch,"
draftfam-25b36f2bed6f,10,55,broad,EFTA01975795,";11/13/2012;December 3, 2012;Mon 11/26/2012;Mon 12/3/2012;November 13, 2012;November 19, 2012",EFTA00701210;EFTA00701333;EFTA01187259;EFTA01764811;EFTA01975795;EFTA01975797;EFTA01978864;EFTA02026651;EFTA02393175;EFTA02706155,self_addressed,,"Sent: Tue 11/13/2012 9:25:31 AM Subject: Reminder about your invitation from Jeffrey Epstein This is a reminder that on November 8, Jeffrey Epstein sent you an invitation to become part of their professional network at LinkedIn. Accept Jeffrey Epstein's Invitation"
draftfam-10f3833d16ea,9,55,broad,EFTA02477866,";April 7, 2018;December 31, 2015;May 18, 2015;May 28, 2015",EFTA00837476;EFTA00837516;EFTA00837725;EFTA00853111;EFTA00856649;EFTA02475261;EFTA02477866;EFTA02499645;EFTA02500499,self_addressed;self_copy_with_others,,"---------- Forwarded messag---------- From: Jeffrey E. Date: Mon, May 18, 2015 at 8:17 AM Subject: agenda for tomorrow To: Jeffrey Epstein >, Melanie Spinella as a reflection on your voiced spirited co rns in the what have you done for me lately category ? )):: . as a reflection on your voiced spirited co rns in the what have you done for me lately category ? )):: . in the beginning . there was eileen and tom. ( eve and adam,-- however it app=ars, she declined to eat the apple from the knowledge"
draftfam-058bfb7a9378,6,55,broad,EFTA01044596,";May 28, 2017;May 29, 2017",EFTA01044596;EFTA01045081;EFTA01045113;EFTA01045140;EFTA02648163;EFTA02649525,self_addressed,,"Forwarded message ----- From: Jeffrey E. leevacation@gmail.com> Date: Mon, May 29, 2017 at 12:08 PM Subject: Fwd: To: Jeffrey Epstein leon Forwarded message From: Jeffrey E. leevacation@gmail.com> Date: Mon, May 29, 2017 at 8:17 AM Subject: Fwd: To: Jeffrey Epstein disguised sale. partberhship, intl. securites law, new partners. Forwarded message From: Jeffrey E leevacation@gmail.com> Date: Sun, May 28, 2017 at 7:06 AM Subject: Fwd: To: Jeffrey Epstein Forwarded message From: Jeffrey E leevacati"
draftfam-1c809a203db1,5,55,broad,EFTA01055349,,EFTA01055138;EFTA01055349;EFTA01055505;EFTA01055741;EFTA01055932,self_addressed,,"has sent you a file via WeTransfer Date: Sun, 05 Feb 2017 23:13:34 +0000 Forwarded message From: Jeffrey E. leevacation@gmail.com> Date: Thu, Feb 2, 2017 at 2:56 PM Subject: Fwd as sent you a file via WeTransfer To: Jeffrey Epstein Forwarded message From: Jeffrey E Date: Wed, Feb 1.2017 at 5:49 AM Subject: Fwd: has sent you a file via WeTransfer To: Jeffrey Epstein Forwarded message ----- From: Jeffrey E. leevacation@gmail.com> Date: Tue, Jan 31, 2017 at 7:20 AM Subject: Fwd: has sent you a file"
draftfam-21d6ad2faea2,5,55,broad,EFTA00868790,";November 7, 2014",EFTA00839283;EFTA00864286;EFTA00868790;EFTA00997535;EFTA02517188,self_addressed,,"Forwarded message ----- From: Jeffrey E. leevacation@gmail.com> Date: Fri, Nov 7, 2014 at 11:56 AM Subject: To: Jeffrey Epstein • recent planning has been remarkable given the highly unusual circumstances. aggressively suggesting ""I am talking out of both sides of my mouth"" when i say that I strongly beliieve your team needs to be seriously upgraded to match the hig h As you are well aware, There is little I won't do for you, or at least try to do as a friend, and a great deal that I have alread"
draftfam-02fd71ed1ee6,4,55,broad,EFTA02480053,";April 7, 2018;December 7, 2015",EFTA00837658;EFTA00839378;EFTA02476578;EFTA02480053,self_addressed;self_copy_with_others,,"Fwd: Fee -------- Forwarded messagFrom: Jeffrey E. Date: Mon, Dec 7, 2015 at 12:39 PM Subject: Fee T= Melanie Spinella < Amount ? Paid in kind ? Financed ? Pla=e ?Paid to ? Non charity , charity . Fixed dates"
draftfam-04356ba5af40,4,55,broad,EFTA01453613,";04/03/2014;April 3, 2014",EFTA01453613;EFTA01453616;EFTA01453623;EFTA01453651,draft_handoff,explicit_draft_language;handoff_language,"sorry how on bbg? On Tue, Apr 1, 2014 at 9:26 AM, Tazla Smith Classification: For internal use only Jeffrey - wrote: Meet Matt O'Connor, MD in Commodities Sales access him on Bbg). We are plugging you in directly to Matt to resolve your frustrations related to timing and information. Attached is a Bloomberg OMON screen, options on WTI futures with the spectrum of strikes and tenors. I believe this is what you want. If so, we can send this at anytime. If not, please let us know the format that yo"
draftfam-7eee5805c7b5,4,55,broad,EFTA00848216,,EFTA00848216;EFTA00850719;EFTA00851559;EFTA00853009,self_addressed,,"Attachments: DB JEE_WT_Piasa_86895.60E_041615_backup.pdf; Auction_Antique_purchase_by_Rothschild_paid_and_unpaid_invoices_061915_copy_for J EE.pdf Forwarded message ----- From: Jeffrey E leevacation@gmail.com> Date: Thu, Aug 6, 2015 at 9:37 AM Subject: Fwd: Rothschild Auction To: Jeffrey Epstein Forwarded message From: Jeffrey E leevacation@gmail.com> Date: Tue, Jul 21, 2015 at 7:55 AM Subject: Fwd: Rothschild Auction To: Jeffrey Epstein Forwarded message ----- From: Jeffrey E leevacation@gmail."
draftfam-7f3623808812,4,55,broad,EFTA00750381,";May 18, 2009;Tue 6/30/2009",EFTA00750381;EFTA00883001;EFTA01828506;EFTA01829883,draft_handoff,explicit_draft_language;handoff_language,"i am well „ come visit On Mon, Jun 29, 2009 at 9:14 PM, Sultan Bin Sulayem Hello my friend how are you Please use this e mail as I don't use aol any more wrote: ********************************************DISCLAIMER************************************* ******* This email and any files transmitted with it are confidential and contain privileged or copyright information. If you are not the intended recipient you must not copy, distribute or use this email or the information contained in it for any"
draftfam-c52ed33c6698,4,55,broad,EFTA02639588,";August 19, 2017;December 31, 2015",EFTA00837463;EFTA00837518;EFTA02477877;EFTA02639588,self_addressed;self_copy_with_others,,"---------- Forwarded message --------- From: Jeffrey E. Date: Thu, May 28, 2015 at 8:53 PM Subject: ulysses =,0 To: Melanie Spinella I realize it is only due to a lack of =nderstanind of the job ahead. and not out of any sense of unwillinge=s to pay - as op=osed to merely hiring people to set up a family office, someone will have =o do the following- separate from the art partnership which is my r=sponsibility. there still needs to be a huge amount of work done for 2015,16. not to mention that b"
draftfam-ce54e75330cc,4,55,broad,EFTA00839292,,EFTA00837676;EFTA00838030;EFTA00839292;EFTA01139490,self_addressed;self_copy_with_others,,"Attachments: APO I_Trust_Agreementisigned).pdf Forwarded message From: Jeffrey E. leevacation@gmail.com> Date: Fri, Feb 20, 2015 at 5:52 AM Subject: To: Melanie Spinella I) pg 1 A "" unequal shares"" . pg 23 ""removal of trustees "" absolute. dont be confused with abiltiy to set up seperate trusts, 2) I am reachable this afternoon in europe. on cell. 3. on another note . -our financial agreement ended months ago . seperate from the art partnership (which i was told yesterday to my amazement is still"
draftfam-0b4f35a8c7e6,3,55,broad,EFTA02477110,"April 7, 2018;March 25, 2017",EFTA02475375;EFTA02477110;EFTA02655451,self_addressed,,"Forwarded messagFrom: Jeffrey E. Date: Sat, Mar 25, 2017 at 10:57 PM Subject: Fwd: Detailed constructive list. To: Jeffrey Epstein Forwarded message jeoffrey E. jeevacation@gmail.com> Date: Tue, Oct 27, 2015 at 6:35 AM Subject: Detailed constructive list. To: Melanie Spinella Cc: Bra= Wechsl<B Decisions ded asap 1 phaidon. topco etc. ( cash needs) many =ires needed !! 2 new trustee or not. - new decantings 3 art in art partnership.??!.overdue ?! 4 grats= window 5 art space. =6 regan arts. =7 pla"
draftfam-181f1c7ccd61,3,55,broad,EFTA02661963,";February 1, 2017",EFTA01055500;EFTA01055519;EFTA02661963,self_addressed,,"Forwarded message From: Jeffrey E. Date: Wed, Feb 1, 2017 at 6:45 AM Subject: Fwd: T= Jeffrey Epstein Forwarded message From: jeffrey E. Date: W=d, Feb 1, 2017 at 5:48 AM Subject: Fwd: To: Jeffrey Epstein reimburse ?? Forwarded message From: Jeffrey E. Date: Wed, Feb 1, 2017 at 5:23 AM Subject: To: Jeffrey Epst=in joe is 70 years= old wirth 50 - 60m , is suggeting he wants to negotie=a bill with his tax lawyer for a years work of his work that totaled%0k. he will dfenintly need the lawyer in the"
draftfam-1b4b7447d286,3,55,broad,EFTA00858842,,EFTA00858842;EFTA00858996;EFTA00859119,self_addressed,,"Forwarded message --------- From: Jeffrey E. Date: Sun, Apr 19, 2015 at 6:22 PM Subject: Fwd: Levered plays on BASF, Allianz and Volkswagen [C] To: Jeffrey Epstein Forwarded message From: Jeffrey E Date: Fri, Apr 17, 2015 at 2:22 PM Subject: Fwd: Levered plays on BASF, Allianz and Volkswagen [C] To: Jeffrey Epstein Forwarded message From: Daniel Sabba Date: Tue, Apr 14, 2015 at 10:38 AM Subject: RE: Levered plays on BASF, Allianz and Volkswagen [C] To: ""jeffrey E."" Cc: Vahe Ste anian • Arian Dw "
draftfam-1ce5b32ab3fa,3,55,broad,EFTA02361790,";August 29, 2012;Wed 8/29/2012",EFTA00658404;EFTA01889495;EFTA02361790,self_addressed;self_copy_with_others,,"Hi Jeffrey and This is interesting. Se= below. On Tue, Aug 28, 2012 at 10:16 AM, Dan Parisi Dear Mr. Epstein-- My name is Dan Parisi, and I am senior as=ociate director of foundation relations for the Alzheimer's Associatio=. I read with great interest about your support for cutting edge science a=ound the world. I would like to inquire respectfully as to whether you wou=d be interested in supporting any of the neuroscience projects being advanc by the Alzheimer's Association. In p=rticular I be"
draftfam-238077a73f09,3,55,broad,EFTA02531812,";August 27, 2010;Fri, 27 Aug 2010",EFTA00895616;EFTA01980773;EFTA02531812,blank_recipient;draft_handoff,explicit_draft_language;handoff_language,"On Fri, Aug 27, 2010 at 7:28=AM, wrote: Yes. You need to spread your wings. What u doing ? S=nt from my BlackBerry wireless device From: J rey Epstein > Date: Fri, 27 Aug 2010 07:27:00 -0600 To: Subject: Re: did you send this to me? On Fri, Aug 27, 2010 at 5:58 AM, wrote: Why don't you fly to London and we have dinner tomorrow night ? Sent from my BlackBerry wireless device ************************************************************_***"
draftfam-283381b608b5,3,55,broad,EFTA02670271,";November 15, 2016",EFTA01062059;EFTA01062073;EFTA02670271,self_addressed,,"ken the last time our respective sides disagreed. Ie y=ur Wean farrel, and my Darren. you and I=sat for 20 minutes in your office and worked it out quickly. I am willing to come explain things at your =onvenience. . I assure you , you are being told an emotional story not a factual=one . --"
draftfam-58c968e39edb,3,55,broad,EFTA01038802,";August 8, 2017",EFTA01038092;EFTA01038802;EFTA02640159,self_addressed,,"Forwarded message From: Mafthew Hiltcik Date: Wed, Aug 2, 2017 at 12:31 PM Subject: privileged and confidential To: ""jeffrey E."" Cc: Ben Sosenko Lees discuss JE Story Outline Personal • Raised in Brooklyn to middle-class family • NYU + other education background • Math and Science teacher at Dalton School from 1973-1975 • While teaching, a Wall Street Father asked JE why he was teaching math and and had him call Ace Greenberg • Bear Steams from 1976 — 1981, becoming a partner • Launched financia"
draftfam-5b96a8e052bc,3,55,broad,EFTA01147871,,EFTA01147871;EFTA01174636;EFTA01174639,self_addressed;self_copy_with_others,,Inline-Images: photo.JPG Sony for all the typos .Sent from my iPhone p. IcA •••3/4
draftfam-655364a7fa40,3,55,broad,EFTA02475634,";April 7, 2018",EFTA00837520;EFTA00837740;EFTA02475634,self_addressed;self_copy_with_others,,"Forwarded messag=------------- From: Jeffrey E. Date: Thu, Dec 31, 2015 at 4:10 PM Subject: Fwd: =o: Jeffrey Epstein > Forwarded message From: Jeffrey E. Date: =ue, Sep 22, 2015 at 6:07 PM Subject: Fwd: To: Melanie Spinella jan 2 of this year Forwarded message From: Jeffrey E. <span Date: Fri, Jan 2, 2015 at 2:55 PM Subject: To: Melanie Spi=ella Leon, I decided last we=k that there was little or no upside in disturbing your well earned =oliday especially as you seemed so peaceful happy and smile"
draftfam-8c48a5b2d4ef,3,55,broad,EFTA00933125,";April 10, 2012;Tue 4/10/2012",EFTA00933125;EFTA01871368;EFTA02553290,self_addressed,,"Shower planting , dead flowers staffing , Ian Sent from my iPad"
draftfam-9cf470113108,3,55,broad,EFTA01768475,"May 27, 2012",EFTA01768475;EFTA02555595;EFTA02698616,self_addressed,,"Making reservation, cranky, priorty conversation . Sorry for all the typos .Sent from my iPhone"
draftfam-00cadf01c087,2,55,broad,EFTA00838037,,EFTA00838033;EFTA00838037,self_addressed,,"Forwarded message From: Jeffrey E. leevacation@gmail.com> Date: Friday, December 25, 2015 Subject: Interesting people, funds etc To: Jeffrey Epstein Forwarded message From: Joscha Bach Dear Jeffrey, I hope this finds you well! You mentioned that I should point out interesting folks to you: David Dalrymple has managed to drop out of two PhD programs, at MIT and Harvard respectively, before he was 21. I got to know him by repeatedly bumping into him during conferences. Peter Thiel gave him a grant"
draftfam-0494f82a2771,2,55,broad,EFTA00737776,;Mon 7/19/2010,EFTA00737776;EFTA02424167,self_addressed,,Attachments: ARCLINEA_KITCHEN_CABINETS_AND_KITCHEN_ISLANDSjpg; modern-wood- kitchenjpg; Exclusive-Stylish-Beach-House-Interior-Design-469x340.jpg Inline-Images: images-3jpg; images-1 jpg; images.jpg; images-2.jpg; -5.jpg
draftfam-07ce92a42602,2,55,broad,EFTA01051550,";March 26, 2017",EFTA01051550;EFTA02655888,self_addressed,,"Forwarded message --------- From: Jeffrey E. leevacation@gtn> Date: Tue, Apr 12, 2016 at 3:43 PM Subject: To: Brad Wechsler Thomas Turrin Cc: Melanie Spinella DDCI, LLC 1) why is return cash basis for what appears to be art investment yet Friends LLC is accrual basis? 2) insurance expense should be added to basis each year not expensed as amount is not deductible Friends Ventures LLC I) why is accounting method accrual basis? what were accrued expenses at end of 2014 that were paid in 2015 2 sch"
draftfam-088002874712,2,55,broad,EFTA00839858,";November 26, 2015",EFTA00839858;EFTA02479795,self_addressed,,"for your consideration. 1 if you dont do phaidon you will pay 50 m in tax , if you do you will only pay 25. approx. -also as a result you will also pay less estimated tax next year . 2. Grats - , i dont think so. alternaitves maybe. . 3. gagosian .4. alans conversation. re pent etc. 5."
draftfam-0977ecf92878,2,55,broad,EFTA02459220,";April 25, 2018",EFTA00825020;EFTA02459220,self_addressed;self_copy_with_others,,"Forwarded message From: jeffrey E. Date: Wed, Apr 25, 2018 at 7:36 AM Subject: To: frey epstein As I have been the only thing s=anding between you and the Greatest of Shit Shows, or in the words o= my friend ""the end of his life as he once knew it. I think you will=discover it was a serious error to growl at me and the group that yo="" strongly RESENT! my outrageous, self-serving, and Ridiculous Clai=s.!! "" Then-- Continue ,by calling into quest=on both my professional competence and my financial"
draftfam-0ea116c9866a,2,55,broad,EFTA02636001,"January 8, 2019;March 29, 2019",EFTA02606659;EFTA02636001,draft_handoff,explicit_draft_language;handoff_language,"no worry want to talk banking and insurance wrote: I'm in a ting. will call you after Erika A. Kellerhals Member Kellerhals Ferguson Kroblin PLLC=div> Royal Palms Professi=nal Building 3 Estate Thomas Suite 101 St. Thomas, VI 00802 Tel: Cel Fax: Notice: This =ommunication may contain privileged or other confidential information. If you are not the intended recipient, or believe that you have receive= this communication in error, please do not print, copy, re-transmit, diss=minate, or otherwise "
draftfam-11d8709e0492,2,55,broad,EFTA01947523,;2013/11/25,EFTA00977603;EFTA01947523,draft_handoff,explicit_draft_language;handoff_language,"there is a chance of dying in child birth, so that initial condition, and resource availability must be factored. OR if you are more like robert and I , you intend to use this in order to convince more partners. I retract all my critique 2013/11/25 Gordon Getty ********************************************************************************"
draftfam-175c3ad88a75,2,55,broad,EFTA00918346,;8/30/2011,EFTA00918346;EFTA01860152,self_addressed,,"Confirmed"" born =. she lied about her age. sorry All data is property of US GOVT/ 19878729we98-98 t049utryaaoi4ut -90'pjt4rt094ut apijij lkjw oiuyf elsih"
draftfam-1de657f2f692,2,55,broad,EFTA02028520,"April 17, 2012;April 28, 2012",EFTA01999861;EFTA02028520,self_addressed,,"-------- Forwarded message -------- From: Edward Guinan Date: Tue, Apr 17, 2012 at 5:29 PM Subject: Global Doomsday Conference To: jeffreyepeinorg@gmail.com, Hi Jeffrey We don't see each other for twenty years and then I run into you on the street a now I just read a press release on the conference ""Coping with Future Catastrophes"". A nice coincidence! I have been doing work in Africa with some of the world's experts on zoonosis. The majority of the emerging infectious diseases are of zoonotic o"
draftfam-210445fc89ca,2,55,broad,EFTA00932904,;Sun 4/1/2012,EFTA00932904;EFTA01870298,self_addressed,,"roads. trees. bikes. compass. , midnight, more dirt . triangle. electrify sundial, . , punchlist"
draftfam-2800495d75ca,2,55,broad,EFTA01883613,;Thur 5/24/2012,EFTA00936123;EFTA01883613,self_addressed,,http://shum.huji.ac.il/ sorin/shikipap/polobo.ps logarithms http://shum.huji.ac.il/ sorin/shikipap/polobo.ps Moshe Levy and Sorin Solomon *********************************************************************
draftfam-2b93196980f3,2,55,broad,EFTA00956322,;Wed 3/6/2013 5:59:10 PM,EFTA00956322;EFTA01901765,self_addressed,,i have been invited to the milken confemce with the ny money people . would you find it amusing to give them a tour of space x? leon black etc.
draftfam-2e6258224556,2,55,broad,EFTA02607072,";December 28, 2018",EFTA01010091;EFTA02607072,self_addressed,,"cabanans were to be finishe sept. then oct nov dec. . vantit=s still not done. engineering doors on the list in feb still not do=e. genrators before hurricane just finished. mike= cottage months late and built over cistern. no w solution . tiles , still not done. =br> p se note"
draftfam-305da2a9e5a2,2,55,broad,EFTA01051535,";March 25, 2017",EFTA01051535;EFTA02655755,self_addressed,,"Forwarded message --------- From: Jeffrey E. leevacation@gmail.com> Date: Wed, Mar 16, 2016 at 6:44 AM Subject: To: Melanie Spinella 1 sorry I have been so busy, come as early as you like tomorw morning . I also must leave no later than 9 . 2. I was told there was a face to face last week, with akin , brad and ada. had i known I would have submitted some questions. 3. I have asked alan for ex why in the brh agreement its says after your death your successor has no right to information re brh. th"
draftfam-31a5f0b95df2,2,55,broad,EFTA00827052,";May 22, 2016",EFTA00827052;EFTA01738009,self_addressed,,Inline-Images: IMG_3908.JPG; IMG_3906.JPG; IMG_3905.JPG; IMG_3904.JPG Sony for all the typos .Sent from my iPhonegi
draftfam-325c09f3a92b,2,55,broad,EFTA00827755,,EFTA00827755;EFTA01182640,self_addressed,,Inline-Images: IMG_I08 I jpg; IMG_ I 070.jpg; IMG_ I 073.jpg; IMG_ I 080.jpg Wnline image 1 Wnline image 4 RInline image 3 Wnline image 2
draftfam-358e211637e9,2,55,broad,EFTA00870794,;Sun 2/16/2014,EFTA00870794;EFTA01936207,self_addressed,,17 place des Vosges Paris 4 Code 1717 Code #1718 First floor right side ****************************************** *****************
draftfam-35986e859d9f,2,55,broad,EFTA02475281,";April 7, 2015",EFTA00837394;EFTA02475281,self_addressed;self_copy_with_others,,"-------- Forwarded messagFrom: jeffrey E. Date: Tue, Apr 7, 2015 at 4:29 PM Subject: To: M=lanie Spinella 1 building an office from scratch. who does it.= ? so far little or no progress in real terms. . brad should remain and can administrate. follow up methodically. . has no idea of correct questions to ask. or understandin= of family office issues. procedures checks and balances. etc=. consultants , diana goldner foundtaion woman?. ice . focus . 2. without strong , very st=oung direction, josl"
draftfam-36b20b8d53ea,2,55,broad,EFTA02396521,"April 23, 2014",EFTA01927857;EFTA02396521,self_addressed,,"---------- Forwarded message -------- From: Date: Tue, Apr 22, 2014 at 11:51 PM Subject: Grants? To: Jeffrey@jeffreypstein.org Dear Jeffrey, I wanted =o reach out as I am so inspired by your philanthropy. My life took a very =nexpected turn two years ago when my then 13-month-old son, Calvin, was diagnosed with a very rare and severe neurodevelopmental disease called Pitt Hopkins. I can't believe i='s nearly been two years! We have come along way since then, but=at the same time when I say two y"
draftfam-372b97d0df5b,2,55,broad,EFTA01018045,";October 31, 2018",EFTA01018045;EFTA02617566,self_addressed,,https://www.npr.org/2018/10/31/662505990/it-is-time-to-end-this-conflict-u-s-calls-for-cease-fire-in-yemen
draftfam-3b3a4ec1b0b1,2,55,broad,HOUSE_OVERSIGHT_033205,;12/8/2016,EFTA01059860;HOUSE_OVERSIGHT_033205,self_addressed,,"Importance: High President-elect Donald J. Trump kicked around ideas for his inaugurationin his office at Trump Tower on Tuesday with two of his oldest friends, Mark Burnett and Thomas Barrack Jr. --"
draftfam-3cbf3785da7d,2,55,broad,EFTA00625712,,EFTA00625712;EFTA01196590,self_addressed,,Attachments: IMG_1646.MOV Sony for all the typos .Sent from my iPhone
draftfam-3d363ae22a18,2,55,broad,EFTA01037317,";August 22, 2017",EFTA01037317;EFTA02639083,self_addressed,,"hey budddy, my advice , stay far the fuck away from it , you dont need it. no matter what your fee. ;)"
draftfam-3e22127c5a30,2,55,broad,EFTA00950149,;Tue 12/11/2012,EFTA00950149;EFTA01914863,self_addressed,,http://www.dni.gov/index.php/about/organization/national-intelligence-council-global-trends
draftfam-3fb75eb9e132,2,55,broad,EFTA02479177,";December 5, 2015",EFTA00839418;EFTA02479177,self_addressed,,"we need to get on the bank loan basis issue asap if we are to get it done by the end of th year. alan =s concerned that recycleni is a problemm he is nuts. i w=sh we could deal with mcgraw, instead of halperin. --"
draftfam-4569fc9ed107,2,55,broad,EFTA02476271,";April 7, 2018",EFTA00837436;EFTA02476271,self_addressed;self_copy_with_others,pressure_language,"Forwarded messagFrom: jeffrey E. Date: Fri, May 1, 2015 at 2:36 PM Subject: To: M=lanie Spinella < I know that both you =nd I heard brads'. im out of here if i dont get a coo. . s=rry, i know that neither of us have stood in the way of his finding= getting one.. JPM account DB account GS account, ??? i=s MAY 1. nothing in the first quarter and these are only papers that=need signing. I suggest your thinking on my role and compen=ation for my work might benefit, from a mental shift - think =ark a"
draftfam-469546750917,2,55,broad,EFTA00673029,,EFTA00630512;EFTA00673029,self_addressed;self_copy_with_others,,Inline-Images: photo.JPG Sony for all the typos .Sent from my iPhonel
draftfam-46f7e74d14c5,2,55,broad,EFTA02610177,";December 19, 2018",EFTA01011067;EFTA02610177,self_addressed;self_copy_with_others,,"enginenening doors on the list since jan. ? mikes cottage same. r. o. . five plams no reason left without power. grotto . ? gym doors. smell mass=er. cabanas. . chillax. wall. ? showersx?, dock ligth=. ? boats? landscape under listen. . tiki kitchen.. -- ="
draftfam-4bf160926c8b,2,55,broad,EFTA01181943,,EFTA00847518;EFTA01181943,self_addressed,,"Attachments: DB JEE_WT_Piasa_86895.60E_041615_backup.pdf Forwarded message From: Jeffrey E. leevacation@gmail.com> Date: Sun, Aug 30, 2015 at 5:53 PM Subject: Fwd: LSJ furniture - paid, currently with the shipping company To: Jeffrey Epstein Forwarded message From: Date: Thu, Aug 20, 2015 at 1:35 PM Subject: Fwd: LSJ furniture - paid, currently with the shipping company To: Jeffrey Epstein We have paid for the items in the attachment already, From the paid Items ""Piasa"" is with the shipping comp"
draftfam-4c2439a3106f,2,55,broad,EFTA02477566,";April 7, 2018",EFTA00838044;EFTA02477566,self_addressed;self_copy_with_others,,"Forwarded message From: jeffrey E. Date: Sun, Mar 26, 2017 at 1:04 AM Subject: Fwd: =o: Jeffrey Epstein Forwarded message From: jeffrey E. Date: =ue, Apr 12, 2016 at 11:49 AM Subject: To: Melanie Spinella use tax questions.? cali=ornia question state returns? as you know wendy di= not play a role here. her involvment moving foward wo=ld help alot. sign your gift tax return to=ay if possible. I will be finished to=orw with this year. crazy on april 13th. !!. last minute to say the least. . bra= t"
draftfam-571d658b7e1f,2,55,broad,EFTA00857083,";May 13, 2015",EFTA00857083;EFTA02501531,self_addressed,,"I. ledgeers not done. extension for foundaiton due to no numbers 2. dag no melanie. 3. no canditate/. 4. phaidon. picasssol dante. 5, tax. grats. 6 phaidon sale resller. 7 1031."
draftfam-5a04180b11de,2,55,broad,EFTA01036539,";August 31, 2017",EFTA01036539;EFTA02638372,self_addressed,,president has no ability to pardon state crimes - http://www.politico.com/story/2017/08/30/manafort-mueller- probe-attomey-general-242191
draftfam-631256b71e0d,2,55,broad,EFTA00757914,;Mon 8/23/2010 11:21:06 AM,EFTA00757914;EFTA02423056,self_addressed,,"jell leeds corny hayes, billsiegal, avy mortimer, marshall rose, jonathan, cliff ross, valerie post, noah, ron glickman, john howard, jason,calkanis, Julia, idick merkin, miliken, jimmy coleman, schwatzman, k"
draftfam-705406b9f00c,2,55,broad,EFTA02608971,";December 27, 2018",EFTA01010329;EFTA02608971,self_addressed;self_copy_with_others,,I met Tony at number 10. He t=ld me then that his future goal was to understand the nature that religion=plays in world conflicts. He told me that he had a wise =eligioius man in Austrailia that he would consult when he needed personal =dvice. btw I am very happy to be called your friend . --
draftfam-70af97933c7b,2,55,broad,EFTA00838766,";December 15, 2015",EFTA00838766;EFTA02477818,self_addressed,,"Shes good-- ada kept saying "" but the trustees counsel wants. , the trustees counsel thinks etc. .. I finally asked , who is this person !, answer "" my former law partner"" :) what time today?"
draftfam-7899d6101515,2,55,broad,EFTA01131121,,EFTA01131121;EFTA01131124,self_addressed,,"Inline-Images: IMG_2403.JPG Sony for all the typos .Sent from my iPhone Yiif,~i~yjvffii%as'-j~ iiyi f/fihll₹ iiiillilijfjf!!"
draftfam-7c3f793dca8f,2,55,broad,EFTA02476129,";April 7, 2018",EFTA00837561;EFTA02476129,self_addressed;self_copy_with_others,,"Forwarded messagFrom: jeffrey E. Date: Fri, Oct 16, 2015 at 1:08 PM Subject: To: =elanie Spinella <mailto: I think you should consider th= fact that your family office will be the most central component of =hat you leave to your children, wife heirs. it is the core of your =sets. your art might be sold. your houses may lie empty, the apoll= stock could be sold. you will pass on your office, i= will be the primary player in your estate tax. probate, transition. =Brad has taken it from a D minus t"
draftfam-7e0d6f74fc95,2,55,broad,EFTA00932846,;3/31/2012,EFTA00932846;EFTA01871194,self_addressed,,http://www.courts.gov.bc.ca/jdb-txt/SC/11/15/2011BCSC1588.htm#SCJTITLEBookMark1012 ***********************************************************
draftfam-7f017b261061,2,55,broad,EFTA01731524,";October 21, 2015",EFTA00842942;EFTA01731524,self_addressed,,"1 finish up gigi. 2. ressler resign=tion and replacment. 3. joslin. 4 office. 5 trading. 6 banks 7=phaidon. 8. IT 9, art partnership. 10. cash flow? 11 l=gacy."
draftfam-89ec8bc18770,2,55,broad,EFTA00848372,,EFTA00848372;EFTA00850495,self_addressed,,Inline-Images: FullSizeRender.jpg Sony for all the typos .Sent from my iPhonelJ
draftfam-8bc366d4d63c,2,55,broad,EFTA00844208,,EFTA00827013;EFTA00844208,self_copy_with_others,,"I m certain you missed my emails -so as not to let you down. -I do not type email or text well. I do this so as to memorialize conversations that each of us might remember differently in the future. I am open to any method that you prefer if you dont enjoy them. Issues. staffing. I suggested hiring new and REPLACING all others. the only question mark , not just hitring new. I susggested new IT persion and systems last nov.. gone , no later than march of this year. though in Nov I sent two texts "
draftfam-919a012a7ecd,2,55,broad,EFTA02639570,"April 7, 2018;August 19, 2017",EFTA02476974;EFTA02639570,self_addressed,,"-------- Forwarded message -------- From: Jeffrey E. Date: Wed, May 13, 2015 at 9:04 AM Subject: Fwd: jobs ahead To: Melanie Spinella the list that w= discussed.. i spent time with brad again. re th= candidates . filing due, this week, next month, . =div class=""gmail_quote"">-------- Forwarded message -------- From:=jeffrey E. > Date: Sun, Dec 28, 2014 at 5:18 AM Subject: jobs ahead To: Brad Wechsler Melanie Spinella Ada C=app 1. review acco=nting system. Book keeping softaware. staff, ( senior a"
