channel,record_type,award_id,parent_award_id,recipient,uei,solicitation_id,action_date,modification,action_obligation,period_start,current_or_ordering_end,potential_end,award_or_task_value,first_task_pool_share_pct,first_task_rank,offers,competition,procedure,pricing,psc,naics,scope_or_action,source_reference
26-SOL-DCR-01,task_order,70CDCR26FR0000023,70CDCR26D00000020,Constellation,F93GMYJCTJR8,26SOLDCR01,2026-03-11,,,2025-12-16,2026-05-14,2026-05-14,767468.75,4.032389,8,1,Full And Open Competition,Subject To Multiple Award Fair Opportunity,Fixed Price,R799,561611,THE PURPOSE OF THIS TASK ORDER IS TO OBTAIN SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,HigherGov normalized task + USAspending award
26-SOL-DCR-01,task_order,70CDCR26FR0000022,70CDCR26D00000021,National Protective Services,W4AUG3SNRTL6,26SOLDCR01,2026-03-11,,,2025-12-16,2026-05-14,2026-05-14,909750.0,4.779955,7,1,Full And Open Competition,Subject To Multiple Award Fair Opportunity,Fixed Price,R799,561611,THE PURPOSE OF THIS TASK ORDER IS TO OBTAIN SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,HigherGov normalized task + USAspending award
26-SOL-DCR-01,obligation_action,70CDCR26FR0000013,70CDCR26D00000003,ENPROVERA CORP,XWMMKN745MS5,26SOLDCR01,2025-12-16,0,34552.0,,,,,,,,,,,R799,561611,THE PURPOSE OF THIS TASK ORDER IS TO OBTAIN SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,USAspending transaction
26-SOL-DCR-01,obligation_action,70CDCR26FR0000013,70CDCR26D00000003,ENPROVERA CORP,XWMMKN745MS5,26SOLDCR01,2026-03-10,P00001,0.0,,,,,,,,,,,R799,561611,THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE TASK ORDER BY 60 DAYS AT NO COST. THE SERVICES ARE FOR SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,USAspending transaction
26-SOL-DCR-01,obligation_action,70CDCR26FR0000014,70CDCR26D00000017,FRAUD INC,D13LLJJZYH64,26SOLDCR01,2025-12-16,0,348000.0,,,,,,,,,,,R799,561611,"SKIP TRACING SERVICES TASK ORDER 5,000 CASES 90 DAY POP",USAspending transaction
26-SOL-DCR-01,obligation_action,70CDCR26FR0000014,70CDCR26D00000017,FRAUD INC,D13LLJJZYH64,26SOLDCR01,2026-03-11,P00001,0.0,,,,,,,,,,,R799,561611,THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE 60 DAYS FOR SKIP TRACING SERVICES TASK ORDER,USAspending transaction
26-SOL-DCR-01,obligation_action,70CDCR26FR0000015,70CDCR26D00000006,AI SOLUTIONS 87 LLC,RXFLA65SEJL9,26SOLDCR01,2025-12-16,0,636500.0,,,,,,,,,,,R799,561611,SKIP TRACING SERVICES TASK ORDER FOR ENFORCEMENT AND REMOVAL OPERATIONS,USAspending transaction
26-SOL-DCR-01,obligation_action,70CDCR26FR0000015,70CDCR26D00000006,AI SOLUTIONS 87 LLC,RXFLA65SEJL9,26SOLDCR01,2026-03-11,P00001,0.0,,,,,,,,,,,R799,561611,THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE TO 60 DAYS FOR SKIP TRACING SERVICES TASK ORDER FOR ENFORCEMENT AND REMOVAL OPERATIONS,USAspending transaction
26-SOL-DCR-01,obligation_action,70CDCR26FR0000016,70CDCR26D00000018,"GRAVITAS PROFESSIONAL SERVICES, LLC",EJB9AHGV8BD1,26SOLDCR01,2025-12-16,0,427500.0,,,,,,,,,,,R799,561611,THE PURPOSE OF THIS TASK ORDER IS TO OBTAIN SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,USAspending transaction
26-SOL-DCR-01,obligation_action,70CDCR26FR0000017,70CDCR26D00000012,SOS INTERNATIONAL LLC,L3VCKMD7J585,26SOLDCR01,2025-12-18,0,1642226.25,,,,,,,,,,,R799,561611,SKIP TRACING SERVICES TASK ORDER FOR ENFORCEMENT AND REMOVAL OPERATIONS,USAspending transaction
26-SOL-DCR-01,obligation_action,70CDCR26FR0000017,70CDCR26D00000012,SOS INTERNATIONAL LLC,L3VCKMD7J585,26SOLDCR01,2026-03-11,P00001,0.0,,,,,,,,,,,R799,561611,THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE TO POP 60 DAYS FOR SKIP TRACING SERVICES SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS,USAspending transaction
26-SOL-DCR-01,obligation_action,70CDCR26FR0000018,70CDCR26D00000019,GSS - GOVERNMENT SUPPORT SERVICES LLC,EMNSGMGP3CP8,26SOLDCR01,2025-12-16,0,741000.0,,,,,,,,,,,R799,561611,THE PURPOSE OF THIS TASK ORDER IS TO OBTAIN SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,USAspending transaction
26-SOL-DCR-01,obligation_action,70CDCR26FR0000018,70CDCR26D00000019,GSS - GOVERNMENT SUPPORT SERVICES LLC,EMNSGMGP3CP8,26SOLDCR01,2026-03-11,P00001,0.0,,,,,,,,,,,R799,561611,THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE 60 DAYS FOR SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,USAspending transaction
26-SOL-DCR-01,obligation_action,70CDCR26FR0000019,70CDCR26D00000013,BLUEHAWK LLC,LJ93K5X4BJN7,26SOLDCR01,2025-12-18,0,2656327.5,,,,,,,,,,,R799,561611,SKIP TRACING SERVICES TASK ORDER FOR ENFORCEMENT AND REMOVAL OPERATIONS,USAspending transaction
26-SOL-DCR-01,obligation_action,70CDCR26FR0000019,70CDCR26D00000013,BLUEHAWK LLC,LJ93K5X4BJN7,26SOLDCR01,2026-03-11,P00001,0.0,,,,,,,,,,,R799,561611,THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE POP 60 DAYS FOR SKIP TRACING SERVICES TASK ORDER FOR ENFORCEMENT AND REMOVAL OPERATIONS,USAspending transaction
26-SOL-DCR-01,obligation_action,70CDCR26FR0000020,70CDCR26D00000008,"RESPONSE AI SOLUTIONS, LLC",ZE2JVFS8ML75,26SOLDCR01,2025-12-16,0,127920.0,,,,,,,,,,,R799,561611,THE PURPOSE OF THIS TASK ORDER IS TO OBTAIN SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,USAspending transaction
26-SOL-DCR-01,obligation_action,70CDCR26FR0000020,70CDCR26D00000008,"RESPONSE AI SOLUTIONS, LLC",ZE2JVFS8ML75,26SOLDCR01,2026-03-11,P00001,0.0,,,,,,,,,,,R799,561611,THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE 60 DAYS FOR SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,USAspending transaction
26-SOL-DCR-01,obligation_action,70CDCR26FR0000021,70CDCR26D00000005,B.I. INCORPORATED,PKK6L9KLMYR5,26SOLDCR01,2025-12-18,0,1624500.0,,,,,,,,,,,R799,561611,THE PURPOSE OF THIS TASK ORDER IS TO OBTAIN SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,USAspending transaction
26-SOL-DCR-01,obligation_action,70CDCR26FR0000021,70CDCR26D00000005,B.I. INCORPORATED,PKK6L9KLMYR5,26SOLDCR01,2026-03-11,P00001,0.0,,,,,,,,,,,R799,561611,THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE 60 DAYS FOR SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,USAspending transaction
26-SOL-DCR-01,obligation_action,70CDCR26FR0000022,70CDCR26D00000021,"NATIONAL PROTECTIVE SERVICES, LLC",W4AUG3SNRTL6,26SOLDCR01,2025-12-18,0,909750.0,,,,,,,,,,,R799,561611,THE PURPOSE OF THIS TASK ORDER IS TO OBTAIN SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,USAspending transaction
26-SOL-DCR-01,obligation_action,70CDCR26FR0000022,70CDCR26D00000021,"NATIONAL PROTECTIVE SERVICES, LLC",W4AUG3SNRTL6,26SOLDCR01,2026-03-11,P00001,0.0,,,,,,,,,,,R799,561611,THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE 60 DAYS FOR SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,USAspending transaction
26-SOL-DCR-01,obligation_action,70CDCR26FR0000023,70CDCR26D00000020,CONSTELLATION INC,F93GMYJCTJR8,26SOLDCR01,2025-12-18,0,767468.75,,,,,,,,,,,R799,561611,THE PURPOSE OF THIS TASK ORDER IS TO OBTAIN SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,USAspending transaction
26-SOL-DCR-01,obligation_action,70CDCR26FR0000023,70CDCR26D00000020,CONSTELLATION INC,F93GMYJCTJR8,26SOLDCR01,2026-03-11,P00001,0.0,,,,,,,,,,,R799,561611,THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE 60 DAYS FOR SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,USAspending transaction
26-SOL-DCR-01,obligation_action,70CDCR26FR0000024,70CDCR26D00000015,CAPGEMINI GOVERNMENT SOLUTIONS LLC,DR6MQ56MGFA5,26SOLDCR01,2025-12-18,0,4816782.5,,,,,,,,,,,R799,561611,THE PURPOSE OF THIS TASK ORDER IS TO OBTAIN SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,USAspending transaction
26-SOL-DCR-01,obligation_action,70CDCR26FR0000024,70CDCR26D00000015,CAPGEMINI GOVERNMENT SOLUTIONS LLC,DR6MQ56MGFA5,26SOLDCR01,2026-03-11,P00001,0.0,,,,,,,,,,,R799,561611,THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE 60 DAYS FOR SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,USAspending transaction
26-SOL-DCR-01,obligation_action,70CDCR26FR0000025,70CDCR26D00000016,OMNIPLEX WORLD SERVICES CORPORATION,K87GBMDQNEX8,26SOLDCR01,2025-12-18,0,1487580.0,,,,,,,,,,,R799,561611,THE PURPOSE OF THIS TASK ORDER IS TO OBTAIN SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,USAspending transaction
26-SOL-DCR-01,obligation_action,70CDCR26FR0000025,70CDCR26D00000016,OMNIPLEX WORLD SERVICES CORPORATION,K87GBMDQNEX8,26SOLDCR01,2026-03-11,P00001,0.0,,,,,,,,,,,R799,561611,THE PURPOSE OF THIS MODIFICATION IS TO EXTEND THE PERIOD OF PERFORMANCE 60 DAYS FOR SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,USAspending transaction
26-SOL-DCR-01,obligation_action,70CDCR26FR0000032,70CDCR26D00000014,"GLOBAL RECOVERY GROUP, LLC",PDG7UND3CWN8,26SOLDCR01,2026-01-16,0,2812500.0,,,,,,,,,,,R799,561611,THE PURPOSE OF THIS TASK ORDER IS TO OBTAIN SKIP TRACING SERVICES FOR ENFORCEMENT AND REMOVAL OPERATIONS (ERO).,USAspending transaction
