manifest_name,manifest_source_class,manifest_basis,alias_relationship,canonical_identity_id,canonical_legal_name,is_fy2025_exhibit22_guarantor,exact_current_sam_name_match_count,uei,cage,federal_legal_business_name,dba,sam_status,sam_evidence_as_of,registration_date,registration_expiration_date,registration_last_update_date,registration_activation_date,address,primary_naics,highergov_awardee_key,highergov_parent_key,dhs_action_count_2015_2026,ice_recipient_in_verified_bounded_dhs_scan,coverage_class,unresolved_or_caution,primary_source_refs
"GEO Reentry, Inc.",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-048-geo-reentry-inc,"GEO Reentry, Inc.",yes,1,KDQ3R3N44ZJ1,7CUD5,GEO REENTRY INC,,Active,2026-03-01 monthly public extract,2015-04-21,2026-10-14,2025-10-14,2025-10-14,4955 TECHNOLOGY WAY | BOCA RATON | FL | 33431,561210,10108147,10000076,0,False,current_sam_registration_no_dhs_actions_in_bounded_scan,,https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm | SAM:UEI:KDQ3R3N44ZJ1
"GEO Transport, Inc.",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-049-geo-transport-inc,"GEO Transport, Inc.",yes,1,DFEKRCYPZD84,6PV86,"GEO TRANSPORT, INC.",,Active,2026-03-01 monthly public extract,2012-03-21,2026-09-19,2025-09-23,2025-09-23,4955 TECHNOLOGY WAY | BOCA RATON | FL | 33431,488999,12382356,10000076,3,True,current_sam_and_ice_award_recipient,,https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm | SAM:UEI:DFEKRCYPZD84
"GEO/DEL/R/02, Inc.",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-050-geo-del-r-02-inc,"GEO/DEL/R/02, Inc.",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"GEO/DEL/T/02, Inc.",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-051-geo-del-t-02-inc,"GEO/DEL/T/02, Inc.",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"Highpoint Investments, LLC",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-052-highpoint-investments-llc,"Highpoint Investments, LLC",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"MCF GP, LLC",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-053-mcf-gp-llc,"MCF GP, LLC",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"Minsec Companies, LLC",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-054-minsec-companies-llc,"Minsec Companies, LLC",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"Minsec Treatment, LLC",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-055-minsec-treatment-llc,"Minsec Treatment, LLC",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"Municipal Corrections Finance, L.P.",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-056-municipal-corrections-finance-l-p,"Municipal Corrections Finance, L.P.",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"Protocol Criminal Justice, Inc.",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-057-protocol-criminal-justice-inc,"Protocol Criminal Justice, Inc.",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
Public Properties Development and Leasing LLC,sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-058-public-properties-development-and-le,Public Properties Development and Leasing LLC,yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"SECON, Inc.",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-059-secon-inc,"SECON, Inc.",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"WBP Leasing, LLC",sec_exhibit_22,GEO 2025 Exhibit 22 guarantor subsidiary,sec_exhibit_22_exact_name,geo-identity-060-wbp-leasing-llc,"WBP Leasing, LLC",yes,0,,,,,,,,,,,,,,,,,sec_exhibit_22_only_no_verified_recipient_registration_in_bounded_sources,"No exact current registration in the March 2026 SAM public extract and no identity in the verified 14-UEI GEO federal-recipient set. This is a bounded current-source result, not proof of no historical registration or award under another legal identity.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm
"The GEO Group, Inc.",parent,active profile / SEC issuer CIK 0000923796,current_parent_legal_name,geo-identity-061-the-geo-group-inc,"The GEO Group, Inc.",no,1,JMLKZZ1NL2Z6,3JMR1,"THE GEO GROUP, INC.",,Active,2026-07-13 live API reused from verified source record/finding #12394,2003-09-29,2027-01-23,2026-01-27,2026-01-27,4955 TECHNOLOGY WAY | BOCA RATON | FL | 33431,922140,10000076,10000076,1128,True,current_sam_and_ice_award_recipient,,https://www.sec.gov/Archives/edgar/data/923796/000095014403011842/g85438e8vk.htm | SAM:UEI:JMLKZZ1NL2Z6
The GEO Group Inc.,parent_variant,punctuation variant in active profile and court records,punctuation_variant,geo-identity-061-the-geo-group-inc,"The GEO Group, Inc.",no,1,JMLKZZ1NL2Z6,3JMR1,"THE GEO GROUP, INC.",,Active,2026-07-13 live API reused from verified source record/finding #12394,2003-09-29,2027-01-23,2026-01-27,2026-01-27,4955 TECHNOLOGY WAY | BOCA RATON | FL | 33431,922140,10000076,10000076,1128,True,current_sam_and_ice_award_recipient,,https://www.sec.gov/Archives/edgar/data/923796/000095014403011842/g85438e8vk.htm | SAM:UEI:JMLKZZ1NL2Z6
"GEO Group, Inc.",parent_variant,bounded parent name without leading article,article_and_punctuation_variant,geo-identity-061-the-geo-group-inc,"The GEO Group, Inc.",no,0,JMLKZZ1NL2Z6,3JMR1,"THE GEO GROUP, INC.",,Active,2026-07-13 live API reused from verified source record/finding #12394,2003-09-29,2027-01-23,2026-01-27,2026-01-27,4955 TECHNOLOGY WAY | BOCA RATON | FL | 33431,922140,10000076,10000076,1128,True,current_sam_and_ice_award_recipient,,https://www.sec.gov/Archives/edgar/data/923796/000095014403011842/g85438e8vk.htm | SAM:UEI:JMLKZZ1NL2Z6
GEO Group Inc.,parent_variant,bounded parent punctuation variant,article_and_punctuation_variant,geo-identity-061-the-geo-group-inc,"The GEO Group, Inc.",no,0,JMLKZZ1NL2Z6,3JMR1,"THE GEO GROUP, INC.",,Active,2026-07-13 live API reused from verified source record/finding #12394,2003-09-29,2027-01-23,2026-01-27,2026-01-27,4955 TECHNOLOGY WAY | BOCA RATON | FL | 33431,922140,10000076,10000076,1128,True,current_sam_and_ice_award_recipient,,https://www.sec.gov/Archives/edgar/data/923796/000095014403011842/g85438e8vk.htm | SAM:UEI:JMLKZZ1NL2Z6
Wackenhut Corrections Corporation,former_parent_name,"SEC CIK 0000923796; 2003 proposed name change to The Geo Group, Inc.",former_issuer_name_same_cik,geo-identity-061-the-geo-group-inc,"The GEO Group, Inc.",no,0,JMLKZZ1NL2Z6,3JMR1,"THE GEO GROUP, INC.",,Active,2026-07-13 live API reused from verified source record/finding #12394,2003-09-29,2027-01-23,2026-01-27,2026-01-27,4955 TECHNOLOGY WAY | BOCA RATON | FL | 33431,922140,10000076,10000076,1128,True,current_sam_and_ice_award_recipient,,https://www.sec.gov/Archives/edgar/data/923796/000095014403011842/g85438e8vk.htm | SAM:UEI:JMLKZZ1NL2Z6
Wackenhut Corrections Corp.,former_parent_variant,SEC issuer display-name abbreviation for CIK 0000923796,former_issuer_name_same_cik,geo-identity-061-the-geo-group-inc,"The GEO Group, Inc.",no,0,JMLKZZ1NL2Z6,3JMR1,"THE GEO GROUP, INC.",,Active,2026-07-13 live API reused from verified source record/finding #12394,2003-09-29,2027-01-23,2026-01-27,2026-01-27,4955 TECHNOLOGY WAY | BOCA RATON | FL | 33431,922140,10000076,10000076,1128,True,current_sam_and_ice_award_recipient,,https://www.sec.gov/Archives/edgar/data/923796/000095014403011842/g85438e8vk.htm | SAM:UEI:JMLKZZ1NL2Z6
B.I. Incorporated,uei_variant,active profile / 14-UEI DHS map punctuation variant,punctuation_variant,geo-identity-003-bi-incorporated,BI Incorporated,no,1,PKK6L9KLMYR5,3CUH9,B.I. INCORPORATED,,Active,2026-03-01 monthly public extract,2002-12-11,2026-11-13,2025-11-17,2025-11-17,6265 GUNBARREL AVE | STE B | BOULDER | CO | 80301,333998,10147020,10000076,166,True,current_sam_and_ice_award_recipient,,https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm | SAM:UEI:PKK6L9KLMYR5
"Cornell Companies, Inc.",uei_variant,14-UEI DHS map punctuation variant,punctuation_variant,geo-identity-022-cornell-companies-inc,Cornell Companies Inc.,no,0,TLDCDE29G781,3MTH6,"CORNELL COMPANIES, INC.",,Expired legacy registration,HigherGov historical registration snapshot,2003-12-04,2023-02-13,2023-02-13,2022-01-17,4955 TECHNOLOGY WAY | BOCA RATON | FL | 33431,561210,10106691,10000076,24,True,legacy_award_recipient_absent_from_current_sam,,https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm | USASPENDING:RECIPIENT:TLDCDE29G781
Correctional Services Corporation,legacy_recipient,14-UEI DHS map legacy recipient legal name,legacy_recipient_distinct_from_current_llc,geo-identity-062-correctional-services-corporation,CORRECTIONAL SERVICES CORPORATION,no,0,LTXHRJ986LF3,3KGQ1,CORRECTIONAL SERVICES CORPORATION,,Not in March 2026 current SAM extract,legacy USAspending/HigherGov recipient identity,,,,,,,13276025,10000076,3,True,legacy_award_recipient_absent_from_current_sam,Preserved as a distinct legacy federal recipient. It is not collapsed into the separately listed FY2025 entity Correctional Services Corporation LLC; no primary source reviewed in this pass proves a direct name conversion between them.,USASPENDING:RECIPIENT:LTXHRJ986LF3
"GEO Care, LLC",former_name,"SEC credit agreement: GEO Care Services, LLC f/k/a GEO Care, LLC",former_legal_name,geo-identity-034-geo-care-services-llc,"GEO Care Services, LLC",no,0,G6XJKMJUNB91,7D4M5,"GEO CARE SERVICES, LLC",,Active,2026-07-13 live API,2015-04-21,2027-05-20,2026-06-01,2026-06-01,4955 Technology Way | Boca Raton | FL | 33431,624190,10125440,10000076,92,True,current_sam_and_ice_award_recipient,,https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm | https://www.sec.gov/Archives/edgar/data/923796/000119312526022602/d85667dex101.htm | https://search.sunbiz.org/Inquiry/CorporationSearch/SearchResultDetail?aggregateId=forl-m15000002176-76a77e3f-2c30-4102-a599-5e40f079be56&directionType=CurrentList&inquirytype=EntityName&listNameOrder=GEOCARE+L120001610400&searchNameOrder=GEOCARE+M150000021760&searchTerm=GEO+CARE+LLC | SAM:UEI:G6XJKMJUNB91
GEO CPM Inc.,uei_variant,14-UEI DHS map punctuation variant,punctuation_variant,geo-identity-039-geo-cpm-inc,"GEO CPM, Inc.",no,1,XHRVS1L8YE54,99YL8,GEO CPM INC,,Active,2026-03-01 monthly public extract,2022-03-11,2026-10-14,2025-10-14,2025-10-14,4955 TECHNOLOGY WAY | BOCA RATON | FL | 33431,622110,59927962,10000076,0,False,current_sam_registration_no_dhs_actions_in_bounded_scan,,https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm | SAM:UEI:XHRVS1L8YE54
GEO Management Services Inc.,uei_variant,14-UEI DHS map punctuation variant,punctuation_variant,geo-identity-040-geo-management-services-inc,"GEO Management Services, Inc.",no,1,ZBJYBK7M9A44,7T8J8,GEO MANAGEMENT SERVICES INC,,Active,2026-03-01 monthly public extract,2017-01-04,2026-09-08,2025-09-08,2025-09-08,4955 TECHNOLOGY WAY | BOCA RATON | FL | 33431,922140,12479589,12479589,0,False,current_sam_registration_no_dhs_actions_in_bounded_scan,"HigherGov marks this awardee row as its own parent, while GEO's primary Exhibit 22 lists GEO Management Services, Inc. as a subsidiary guarantor. The map preserves the SEC parent relationship and records the HigherGov hierarchy divergence.",https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm | SAM:UEI:ZBJYBK7M9A44
"GEO Reentry of Alaska, Inc.",uei_variant,14-UEI DHS map punctuation variant,punctuation_variant,geo-identity-046-geo-reentry-of-alaska-inc,GEO Reentry of Alaska Inc.,no,1,FNT5N5HMB9A7,7G0K5,"GEO REENTRY OF ALASKA, INC.",,Active,2026-03-01 monthly public extract,2015-10-02,2026-09-08,2025-09-08,2025-09-08,4955 TECHNOLOGY WAY | BOCA RATON | FL | 33431,561210,10114506,10000076,0,False,current_sam_registration_no_dhs_actions_in_bounded_scan,,https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm | SAM:UEI:FNT5N5HMB9A7
GEO Reentry Services LLC,uei_variant,14-UEI DHS map punctuation variant,punctuation_variant,geo-identity-047-geo-reentry-services-llc,"GEO Reentry Services, LLC",no,1,CLKXSJLN8EN1,7G0N6,GEO REENTRY SERVICES LLC,,Active,2026-03-01 monthly public extract,2017-07-28,2026-10-14,2025-10-14,2025-10-14,4955 TECHNOLOGY WAY | BOCA RATON | FL | 33431,561210,12440992,10000076,0,False,current_sam_registration_no_dhs_actions_in_bounded_scan,,https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm | SAM:UEI:CLKXSJLN8EN1
GEO Reentry Inc.,uei_variant,14-UEI DHS map punctuation variant,punctuation_variant,geo-identity-048-geo-reentry-inc,"GEO Reentry, Inc.",no,1,KDQ3R3N44ZJ1,7CUD5,GEO REENTRY INC,,Active,2026-03-01 monthly public extract,2015-04-21,2026-10-14,2025-10-14,2025-10-14,4955 TECHNOLOGY WAY | BOCA RATON | FL | 33431,561210,10108147,10000076,0,False,current_sam_registration_no_dhs_actions_in_bounded_scan,,https://www.sec.gov/Archives/edgar/data/923796/000119312526071747/geo-ex22_1.htm | SAM:UEI:KDQ3R3N44ZJ1
